2026/03/17 11:00:50 no config path specified; using /var/lib/derper/derper.key
2026/03/17 11:00:50 STUN server listening on [::]:3478
2026/03/17 11:00:50 No mesh key configured
2026/03/17 11:00:50 derper: serving on :3340 with TLS
2026/03/17 11:00:54 http: TLS handshake error from 10.50.0.2:57520: unexpected EOF
gc 32 @4.123s 0%: 0.11+0.59+0.071 ms clock, 1.4+0.75/0.96/0+0.85 ms cpu, 4->4->1 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 33 @4.125s 0%: 0.097+0.67+0.10 ms clock, 1.1+0.72/1.1/0+1.2 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 34 @4.127s 0%: 0.092+0.58+0.074 ms clock, 1.1+0.84/0.91/0+0.89 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 35 @4.129s 0%: 0.12+0.54+0.083 ms clock, 1.4+0.67/0.93/0+0.99 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 36 @4.131s 0%: 0.10+1.0+0.085 ms clock, 1.2+1.3/0.81/0+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 37 @4.134s 0%: 0.10+0.53+0.094 ms clock, 1.2+1.0/0.84/0+1.1 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 38 @4.136s 0%: 0.11+0.67+0.10 ms clock, 1.4+0.92/1.1/0+1.2 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 39 @4.138s 0%: 0.20+0.57+0.089 ms clock, 2.4+0.87/0.77/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 40 @4.140s 0%: 0.17+1.2+0.077 ms clock, 2.0+0.87/0.81/0+0.92 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 41 @4.143s 0%: 0.090+0.55+0.087 ms clock, 1.0+0.97/0.85/0+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 42 @4.145s 0%: 0.071+1.3+0.084 ms clock, 0.85+0.91/0.86/0+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 43 @4.148s 0%: 0.71+0.74+0.10 ms clock, 8.6+0.73/0.83/0+1.2 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 44 @4.151s 0%: 0.11+1.7+0.078 ms clock, 1.3+0.88/0.71/0+0.94 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 45 @4.154s 0%: 0.15+1.3+0.077 ms clock, 1.8+0.79/0.90/0+0.93 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 46 @4.157s 0%: 0.11+1.1+0.14 ms clock, 1.3+0.75/0.83/0+1.7 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 47 @4.160s 0%: 0.10+0.97+0.090 ms clock, 1.2+0.69/0.83/0+1.0 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 48 @4.163s 0%: 0.11+1.1+0.055 ms clock, 1.4+0.73/0.92/0+0.66 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 49 @4.166s 0%: 0.086+0.87+0.084 ms clock, 1.0+0.66/0.78/0+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 50 @4.168s 0%: 0.092+0.52+0.094 ms clock, 1.1+0.78/0.91/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
gc 51 @4.170s 0%: 0.13+0.54+0.091 ms clock, 1.5+0.74/0.93/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 12 P
