2026/03/14 00:17:10 Running in dev mode.
2026/03/14 00:17:10 STUN server listening on [::]:3478
2026/03/14 00:17:10 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 00:17:10 No mesh key configured for --dev mode
2026/03/14 00:17:10 derper: serving on :3340
gc 32 @33.895s 0%: 0.17+0.80+0.10 ms clock, 2.7+0.72/0.89/0.032+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 33 @33.897s 0%: 0.14+0.71+0.10 ms clock, 2.3+0.44/0.95/0+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @33.899s 0%: 0.079+0.55+0.13 ms clock, 1.2+0.53/0.87/0.017+2.1 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @33.900s 0%: 0.14+0.74+0.038 ms clock, 2.3+0.53/1.1/0+0.61 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 36 @33.902s 0%: 0.13+0.74+0.092 ms clock, 2.1+0.68/0.82/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @33.904s 0%: 0.10+0.57+0.12 ms clock, 1.6+0.56/0.82/0.005+1.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @33.906s 0%: 0.10+0.78+0.064 ms clock, 1.6+0.46/0.87/0+1.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @33.907s 0%: 0.11+0.42+0.17 ms clock, 1.9+0.59/0.72/0.011+2.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @33.909s 0%: 0.14+0.57+0.20 ms clock, 2.2+0.67/0.74/0+3.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @33.911s 0%: 0.11+0.63+0.093 ms clock, 1.7+0.42/0.83/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 42 @33.912s 0%: 0.11+0.51+0.19 ms clock, 1.7+0.54/0.77/0+3.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 43 @33.914s 0%: 0.18+0.49+0.18 ms clock, 2.9+0.77/0.67/0+3.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 44 @33.915s 0%: 0.12+0.62+0.14 ms clock, 1.9+0.48/0.85/0.027+2.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 45 @33.917s 0%: 0.12+0.59+0.10 ms clock, 1.9+0.66/0.78/0+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 46 @33.919s 0%: 0.12+0.40+0.10 ms clock, 1.9+0.64/0.75/0+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 47 @33.920s 0%: 0.10+0.63+0.12 ms clock, 1.7+0.73/0.85/0+1.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 48 @33.922s 0%: 0.16+0.61+0.10 ms clock, 2.5+0.62/0.69/0.011+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 49 @33.923s 0%: 0.11+0.49+0.14 ms clock, 1.7+0.56/0.76/0.045+2.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 50 @33.925s 0%: 0.11+0.62+0.10 ms clock, 1.8+0.55/0.82/0.034+1.7 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 51 @33.927s 0%: 0.099+0.46+0.10 ms clock, 1.5+0.58/0.88/0+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 52 @33.928s 0%: 0.11+0.65+0.13 ms clock, 1.8+0.63/0.89/0+2.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 53 @33.930s 0%: 0.16+0.58+0.077 ms clock, 2.6+0.71/0.78/0+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 54 @33.932s 0%: 0.14+0.51+0.098 ms clock, 2.2+0.60/0.77/0+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 55 @33.933s 0%: 0.11+0.54+0.084 ms clock, 1.8+0.65/0.79/0.009+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 56 @33.935s 0%: 0.13+0.57+0.10 ms clock, 2.1+0.52/0.86/0+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 57 @33.937s 0%: 0.22+0.58+0.11 ms clock, 3.6+0.67/0.88/0+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 58 @33.938s 0%: 0.11+0.44+0.11 ms clock, 1.8+0.64/0.77/0+1.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 59 @33.940s 0%: 0.14+0.54+0.075 ms clock, 2.2+0.59/0.86/0+1.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 60 @33.941s 0%: 0.11+0.52+0.086 ms clock, 1.8+0.60/0.85/0+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 61 @33.943s 0%: 0.16+0.69+0.13 ms clock, 2.6+0.51/0.92/0+2.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 62 @33.945s 0%: 0.12+0.69+0.079 ms clock, 2.0+0.47/0.89/0.031+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 63 @33.947s 0%: 0.14+0.45+0.10 ms clock, 2.3+0.65/0.78/0.025+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 64 @33.948s 0%: 0.14+0.49+0.12 ms clock, 2.3+0.57/0.75/0.024+1.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 65 @33.950s 0%: 0.11+0.52+0.12 ms clock, 1.8+0.46/0.85/0.037+2.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 66 @33.951s 0%: 0.12+0.50+0.090 ms clock, 2.0+0.69/0.74/0+1.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 67 @33.953s 0%: 0.10+0.45+0.12 ms clock, 1.6+0.63/0.77/0.002+1.9 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 68 @33.954s 0%: 0.10+0.61+0.075 ms clock, 1.7+0.64/0.92/0+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 69 @33.956s 0%: 0.13+0.66+0.10 ms clock, 2.1+0.54/0.93/0.001+1.7 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 70 @33.958s 0%: 0.18+0.52+0.11 ms clock, 2.9+0.69/0.75/0+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 71 @33.959s 0%: 0.11+0.62+0.11 ms clock, 1.7+0.57/0.90/0.010+1.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 72 @33.961s 0%: 0.12+0.59+0.12 ms clock, 1.9+0.81/0.93/0+2.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 73 @33.963s 0%: 0.11+0.52+0.15 ms clock, 1.7+0.59/0.76/0+2.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 74 @33.965s 0%: 0.086+0.58+0.14 ms clock, 1.3+0.42/0.85/0+2.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 75 @33.966s 0%: 0.10+0.75+0.10 ms clock, 1.6+0.63/0.89/0.055+1.7 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 76 @33.968s 0%: 0.15+0.85+0.051 ms clock, 2.5+0.66/0.88/0+0.81 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 77 @33.970s 0%: 0.097+0.63+0.11 ms clock, 1.5+0.59/0.87/0+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 78 @33.972s 0%: 0.12+0.64+0.087 ms clock, 1.9+0.48/0.77/0+1.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 79 @33.974s 0%: 0.11+0.54+0.12 ms clock, 1.8+0.49/0.91/0+2.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 80 @33.976s 0%: 0.10+0.72+0.12 ms clock, 1.7+0.55/0.97/0+1.9 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 81 @33.978s 0%: 0.11+0.68+0.097 ms clock, 1.8+0.72/0.80/0+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 82 @33.979s 0%: 0.10+0.61+0.10 ms clock, 1.6+0.43/0.88/0+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 83 @33.981s 0%: 0.17+0.65+0.092 ms clock, 2.7+0.65/1.0/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 84 @33.983s 0%: 0.12+0.66+0.12 ms clock, 1.9+0.49/0.91/0+1.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 85 @33.985s 0%: 0.10+0.64+0.17 ms clock, 1.7+0.74/0.85/0+2.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 86 @33.987s 0%: 0.12+0.55+0.13 ms clock, 2.0+0.49/0.93/0.030+2.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 87 @33.988s 0%: 0.12+0.56+0.082 ms clock, 1.9+0.66/0.89/0+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 88 @33.990s 0%: 0.16+0.76+0.10 ms clock, 2.7+0.59/0.77/0.010+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 89 @33.992s 0%: 0.10+0.76+0.040 ms clock, 1.7+0.52/0.91/0.045+0.65 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 90 @33.994s 0%: 0.10+0.75+0.089 ms clock, 1.6+0.63/0.83/0+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 91 @33.996s 0%: 0.097+0.62+0.17 ms clock, 1.5+0.59/0.59/0.19+2.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 92 @33.997s 0%: 0.14+0.54+0.11 ms clock, 2.3+0.66/0.91/0+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 93 @33.999s 0%: 0.18+0.63+0.16 ms clock, 2.8+0.73/0.75/0+2.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 94 @34.001s 0%: 0.13+0.69+0.13 ms clock, 2.2+0.59/0.83/0.001+2.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 95 @34.003s 0%: 0.11+0.56+0.071 ms clock, 1.8+0.58/0.85/0.022+1.1 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 96 @34.005s 0%: 0.14+0.64+0.058 ms clock, 2.3+0.73/0.73/0+0.92 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 97 @34.006s 0%: 0.10+0.60+0.094 ms clock, 1.7+0.51/1.0/0+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 98 @34.008s 0%: 0.11+0.78+0.096 ms clock, 1.8+0.54/0.87/0.086+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 99 @34.010s 0%: 0.13+0.51+0.11 ms clock, 2.2+0.60/0.78/0+1.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 100 @34.011s 0%: 0.15+0.50+0.089 ms clock, 2.5+0.57/0.84/0+1.4 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 101 @34.013s 0%: 0.12+0.69+0.030 ms clock, 2.0+0.58/0.92/0+0.48 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 102 @34.015s 0%: 0.14+0.52+0.087 ms clock, 2.2+0.60/0.87/0+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 103 @34.016s 0%: 0.12+0.46+0.10 ms clock, 2.0+0.65/0.83/0.004+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 104 @34.018s 0%: 0.15+0.56+0.090 ms clock, 2.5+0.71/0.86/0.001+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 105 @34.020s 0%: 0.099+0.59+0.096 ms clock, 1.5+0.61/1.0/0+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 106 @34.021s 0%: 0.14+0.58+0.11 ms clock, 2.3+0.66/0.81/0.011+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 107 @34.023s 0%: 0.10+0.62+0.10 ms clock, 1.6+0.45/0.85/0.054+1.7 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 108 @34.025s 0%: 0.14+0.66+0.090 ms clock, 2.3+0.64/0.90/0.021+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 109 @34.027s 0%: 0.10+0.59+0.10 ms clock, 1.6+0.41/0.87/0.001+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 110 @34.028s 0%: 0.17+0.51+0.12 ms clock, 2.7+0.45/0.80/0.006+1.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 111 @34.030s 0%: 0.15+0.50+0.16 ms clock, 2.5+0.63/0.81/0.001+2.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 112 @34.031s 0%: 0.14+0.59+0.15 ms clock, 2.2+0.60/0.89/0.008+2.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 113 @34.033s 0%: 0.20+0.63+0.059 ms clock, 3.2+0.50/0.84/0.003+0.95 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 114 @34.035s 0%: 0.097+0.45+0.14 ms clock, 1.5+0.47/0.77/0.062+2.2 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 115 @34.036s 0%: 0.18+0.48+0.13 ms clock, 2.9+0.75/0.93/0+2.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 116 @34.038s 0%: 0.16+0.70+0.11 ms clock, 2.5+0.51/0.92/0+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 117 @34.040s 0%: 0.13+0.48+0.13 ms clock, 2.2+0.62/0.77/0.006+2.1 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 118 @34.042s 0%: 0.14+0.81+0.11 ms clock, 2.3+0.55/0.95/0+1.7 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 119 @34.044s 0%: 0.13+0.59+0.079 ms clock, 2.2+0.61/0.78/0+1.2 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 120 @34.046s 0%: 0.15+0.54+0.17 ms clock, 2.4+0.48/0.86/0+2.7 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 121 @34.047s 0%: 0.11+0.50+0.11 ms clock, 1.8+0.71/0.74/0+1.7 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 122 @34.049s 0%: 0.10+0.60+0.074 ms clock, 1.6+0.69/0.98/0.014+1.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 123 @34.050s 0%: 0.11+0.58+0.096 ms clock, 1.8+0.62/0.87/0.012+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 124 @34.052s 0%: 0.12+0.55+0.11 ms clock, 2.0+0.62/0.81/0.030+1.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 125 @34.054s 0%: 0.16+1.0+0.17 ms clock, 2.7+0.73/0.76/0+2.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 126 @34.056s 0%: 0.11+0.54+0.097 ms clock, 1.8+0.53/0.95/0+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 127 @34.057s 0%: 0.096+0.52+0.083 ms clock, 1.5+0.40/0.84/0.013+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 128 @34.059s 0%: 0.10+0.46+0.11 ms clock, 1.6+0.65/0.75/0+1.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 129 @34.060s 0%: 0.11+0.77+0.093 ms clock, 1.8+0.52/0.97/0.006+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 130 @34.062s 0%: 0.10+0.53+0.095 ms clock, 1.7+0.46/0.83/0+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 131 @34.064s 0%: 0.15+0.62+0.092 ms clock, 2.5+0.60/0.90/0.007+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 132 @34.066s 0%: 0.12+0.47+0.11 ms clock, 2.0+0.58/0.78/0+1.8 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 133 @34.067s 0%: 0.14+0.60+0.10 ms clock, 2.2+0.62/0.94/0+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 134 @34.069s 0%: 0.10+0.50+0.099 ms clock, 1.7+0.70/0.73/0.029+1.5 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 135 @34.070s 0%: 0.10+0.45+0.10 ms clock, 1.7+0.61/0.86/0+1.6 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 136 @34.072s 0%: 0.11+0.62+0.10 ms clock, 1.8+0.67/0.91/0+1.6 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 137 @34.073s 0%: 0.11+0.68+0.059 ms clock, 1.9+0.53/0.92/0+0.95 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 138 @34.075s 0%: 0.13+0.51+0.18 ms clock, 2.1+0.53/0.87/0+2.9 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 139 @34.077s 0%: 0.12+0.58+0.062 ms clock, 1.9+0.45/0.81/0.075+1.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 140 @34.078s 0%: 0.087+0.43+0.13 ms clock, 1.3+0.49/0.71/0.052+2.0 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
