Linux 6.12.74+deb13+1-cloud-amd64 (ip-10-20-0-10) 	03/15/26 	_x86_64_	(16 CPU)

11:01:15     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:16     all    1.28    0.00    2.63   43.16    0.00    1.35    0.00    0.00    0.00   51.57
11:01:16       0    1.03    0.00    1.03    1.03    0.00    2.06    0.00    0.00    0.00   94.85
11:01:16       1    1.02    0.00    0.00    7.14    0.00    2.04    0.00    0.00    0.00   89.80
11:01:16       2    1.03    0.00    2.06   39.18    0.00    3.09    0.00    0.00    0.00   54.64
11:01:16       3    2.11    0.00    4.21   68.42    0.00    3.16    0.00    0.00    0.00   22.11
11:01:16       4    2.08    0.00    5.21   72.92    0.00    0.00    0.00    0.00    0.00   19.79
11:01:16       5    3.16    0.00   10.53   81.05    0.00    5.26    0.00    0.00    0.00    0.00
11:01:16       6    1.03    0.00    1.03   58.76    0.00    5.15    0.00    0.00    0.00   34.02
11:01:16       7    3.03    0.00    5.05   58.59    0.00    1.01    0.00    0.00    0.00   32.32
11:01:16       8    1.01    0.00    1.01   18.18    0.00    0.00    0.00    0.00    0.00   79.80
11:01:16       9    2.20    0.00    6.59   56.04    0.00    0.00    0.00    0.00    0.00   35.16
11:01:16      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:16      11    0.00    0.00    0.00   12.12    0.00    0.00    0.00    0.00    0.00   87.88
11:01:16      12    1.01    0.00    2.02   34.34    0.00    0.00    0.00    0.00    0.00   62.63
11:01:16      13    1.00    0.00    1.00   27.00    0.00    0.00    0.00    0.00    0.00   71.00
11:01:16      14    1.04    0.00    3.12   65.62    0.00    0.00    0.00    0.00    0.00   30.21
11:01:16      15    0.00    0.00    0.00   94.95    0.00    0.00    0.00    0.00    0.00    5.05

11:01:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:17     all    1.55    0.00    2.91   43.78    0.00    1.75    0.00    0.00    0.00   50.00
11:01:17       0    0.00    0.00    0.00   14.58    0.00    2.08    0.00    0.00    0.00   83.33
11:01:17       1    0.00    0.00    0.00    0.00    0.00    1.03    0.00    0.00    0.00   98.97
11:01:17       2    0.00    0.00    1.06   15.96    0.00    3.19    0.00    0.00    0.00   79.79
11:01:17       3    2.20    0.00    6.59   82.42    0.00    4.40    0.00    0.00    0.00    4.40
11:01:17       4    3.12    0.00    7.29   88.54    0.00    1.04    0.00    0.00    0.00    0.00
11:01:17       5    0.00    0.00    1.02    6.12    0.00    8.16    0.00    0.00    0.00   84.69
11:01:17       6    1.02    0.00    1.02   76.53    0.00    7.14    0.00    0.00    0.00   14.29
11:01:17       7    1.02    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   97.96
11:01:17       8    4.12    0.00    5.15   90.72    0.00    0.00    0.00    0.00    0.00    0.00
11:01:17       9    5.38    0.00    8.60   68.82    0.00    0.00    0.00    0.00    0.00   17.20
11:01:17      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:17      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:17      12    6.45    0.00   10.75   74.19    0.00    0.00    0.00    0.00    0.00    8.60
11:01:17      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:17      14    2.11    0.00    5.26   92.63    0.00    0.00    0.00    0.00    0.00    0.00
11:01:17      15    0.00    0.00    1.02   98.98    0.00    0.00    0.00    0.00    0.00    0.00

11:01:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:18     all    1.55    0.00    3.10   43.48    0.00    2.26    0.00    0.00    0.00   49.61
11:01:18       0    0.00    0.00    1.04   93.75    0.00    4.17    0.00    0.00    0.00    1.04
11:01:18       1    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
11:01:18       2    0.00    0.00    0.00    0.00    0.00    4.21    0.00    0.00    0.00   95.79
11:01:18       3    1.02    0.00    7.14   59.18    0.00    8.16    0.00    0.00    0.00   24.49
11:01:18       4    1.11    0.00    3.33   78.89    0.00    0.00    0.00    0.00    0.00   16.67
11:01:18       5    0.99    0.00    0.99    7.92    0.00    9.90    0.00    0.00    0.00   80.20
11:01:18       6    0.00    0.00    0.00    0.00    0.00    5.10    0.00    0.00    0.00   94.90
11:01:18       7    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:01:18       8    3.26    0.00    3.26   93.48    0.00    0.00    0.00    0.00    0.00    0.00
11:01:18       9    8.25    0.00   15.46   76.29    0.00    0.00    0.00    0.00    0.00    0.00
11:01:18      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:18      11    1.02    0.00    2.04   21.43    0.00    0.00    0.00    0.00    0.00   75.51
11:01:18      12    0.00    0.00    2.02   18.18    0.00    0.00    0.00    0.00    0.00   79.80
11:01:18      13    4.55    0.00    6.82   69.32    0.00    0.00    0.00    0.00    0.00   19.32
11:01:18      14    3.00    0.00    7.00   90.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:18      15    2.04    0.00    0.00   97.96    0.00    0.00    0.00    0.00    0.00    0.00

11:01:18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:19     all    1.87    0.00    3.16   43.46    0.00    1.68    0.00    0.00    0.00   49.84
11:01:19       0    0.00    0.00    0.00   95.96    0.00    4.04    0.00    0.00    0.00    0.00
11:01:19       1    2.08    0.00    4.17   34.38    0.00    5.21    0.00    0.00    0.00   54.17
11:01:19       2    0.00    0.00    1.05    2.11    0.00    2.11    0.00    0.00    0.00   94.74
11:01:19       3    0.00    0.00    0.00    0.00    0.00    2.08    0.00    0.00    0.00   97.92
11:01:19       4    1.03    0.00    2.06   11.34    0.00    0.00    0.00    0.00    0.00   85.57
11:01:19       5    6.25    0.00    8.33   76.04    0.00    6.25    0.00    0.00    0.00    3.12
11:01:19       6    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
11:01:19       7    1.02    0.00    5.10   36.73    0.00    2.04    0.00    0.00    0.00   55.10
11:01:19       8    0.00    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   96.97
11:01:19       9    4.55    0.00    5.68   76.14    0.00    0.00    0.00    0.00    0.00   13.64
11:01:19      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:19      11    3.03    0.00    7.07   53.54    0.00    0.00    0.00    0.00    0.00   36.36
11:01:19      12    5.05    0.00    6.06   88.89    0.00    0.00    0.00    0.00    0.00    0.00
11:01:19      13    3.06    0.00    5.10   31.63    0.00    0.00    0.00    0.00    0.00   60.20
11:01:19      14    2.13    0.00    3.19   94.68    0.00    0.00    0.00    0.00    0.00    0.00
11:01:19      15    2.04    0.00    3.06   94.90    0.00    0.00    0.00    0.00    0.00    0.00

11:01:19     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:20     all    1.55    0.00    3.17   43.73    0.00    1.55    0.00    0.00    0.00   50.00
11:01:20       0    0.00    0.00    0.00   22.11    0.00    1.05    0.00    0.00    0.00   76.84
11:01:20       1    0.00    0.00    2.06    7.22    0.00    0.00    0.00    0.00    0.00   90.72
11:01:20       2    1.04    0.00    1.04    2.08    0.00    2.08    0.00    0.00    0.00   93.75
11:01:20       3    6.52    0.00    5.43   64.13    0.00    3.26    0.00    0.00    0.00   20.65
11:01:20       4    4.44    0.00   10.00   75.56    0.00    4.44    0.00    0.00    0.00    5.56
11:01:20       5    3.09    0.00    5.15   76.29    0.00    8.25    0.00    0.00    0.00    7.22
11:01:20       6    1.03    0.00    2.06   16.49    0.00    5.15    0.00    0.00    0.00   75.26
11:01:20       7    0.00    0.00    0.00    4.08    0.00    1.02    0.00    0.00    0.00   94.90
11:01:20       8    0.00    0.00    0.00   77.78    0.00    0.00    0.00    0.00    0.00   22.22
11:01:20       9    2.13    0.00    9.57   84.04    0.00    0.00    0.00    0.00    0.00    4.26
11:01:20      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:20      11    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:01:20      12    3.12    0.00    7.29   89.58    0.00    0.00    0.00    0.00    0.00    0.00
11:01:20      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:20      14    2.08    0.00    5.21   92.71    0.00    0.00    0.00    0.00    0.00    0.00
11:01:20      15    2.02    0.00    4.04   93.94    0.00    0.00    0.00    0.00    0.00    0.00

11:01:20     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:21     all    1.42    0.00    2.91   43.80    0.00    2.07    0.00    0.00    0.00   49.81
11:01:21       0    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
11:01:21       1    0.00    0.00    0.00    0.00    0.00    2.06    0.00    0.00    0.00   97.94
11:01:21       2    1.06    0.00    3.19   31.91    0.00    4.26    0.00    0.00    0.00   59.57
11:01:21       3    5.43    0.00    8.70   82.61    0.00    3.26    0.00    0.00    0.00    0.00
11:01:21       4    5.49    0.00    6.59   60.44    0.00    0.00    0.00    0.00    0.00   27.47
11:01:21       5    1.05    0.00    0.00    2.11    0.00    5.26    0.00    0.00    0.00   91.58
11:01:21       6    2.04    0.00    4.08   50.00    0.00    9.18    0.00    0.00    0.00   34.69
11:01:21       7    1.04    0.00    6.25   85.42    0.00    4.17    0.00    0.00    0.00    3.12
11:01:21       8    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:21       9    4.08    0.00    5.10   51.02    0.00    0.00    0.00    0.00    0.00   39.80
11:01:21      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:21      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:21      12    0.00    0.00    2.13   57.45    0.00    0.00    0.00    0.00    0.00   40.43
11:01:21      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:21      14    2.02    0.00    8.08   89.90    0.00    0.00    0.00    0.00    0.00    0.00
11:01:21      15    1.04    0.00    3.12   95.83    0.00    0.00    0.00    0.00    0.00    0.00

11:01:21     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:22     all    1.61    0.00    3.16   43.71    0.00    1.81    0.00    0.00    0.00   49.71
11:01:22       0    0.00    0.00    0.00    0.00    0.00    2.08    0.00    0.00    0.00   97.92
11:01:22       1    0.00    0.00    0.00    0.00    0.00    1.04    0.00    0.00    0.00   98.96
11:01:22       2    1.08    0.00    2.15   33.33    0.00    4.30    0.00    0.00    0.00   59.14
11:01:22       3    4.30    0.00    6.45   69.89    0.00    4.30    0.00    0.00    0.00   15.05
11:01:22       4    6.45    0.00   12.90   78.49    0.00    2.15    0.00    0.00    0.00    0.00
11:01:22       5    1.04    0.00    2.08   31.25    0.00    5.21    0.00    0.00    0.00   60.42
11:01:22       6    1.03    0.00    4.12   35.05    0.00    6.19    0.00    0.00    0.00   53.61
11:01:22       7    2.04    0.00    3.06   55.10    0.00    4.08    0.00    0.00    0.00   35.71
11:01:22       8    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
11:01:22       9    4.90    0.00    8.82   48.04    0.00    0.00    0.00    0.00    0.00   38.24
11:01:22      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:22      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:22      12    2.08    0.00    3.12   64.58    0.00    0.00    0.00    0.00    0.00   30.21
11:01:22      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:22      14    2.06    0.00    6.19   91.75    0.00    0.00    0.00    0.00    0.00    0.00
11:01:22      15    1.05    0.00    1.05   97.89    0.00    0.00    0.00    0.00    0.00    0.00

11:01:22     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:23     all    1.29    0.00    3.30   43.82    0.00    2.07    0.00    0.00    0.00   49.51
11:01:23       0    0.00    0.00    0.00    0.00    0.00    3.12    0.00    0.00    0.00   96.88
11:01:23       1    0.00    0.00    0.00    0.00    0.00    2.04    0.00    0.00    0.00   97.96
11:01:23       2    0.00    0.00    0.00    0.00    0.00    1.08    0.00    0.00    0.00   98.92
11:01:23       3    2.13    0.00   11.70   80.85    0.00    5.32    0.00    0.00    0.00    0.00
11:01:23       4    6.52    0.00   10.87   78.26    0.00    4.35    0.00    0.00    0.00    0.00
11:01:23       5    0.00    0.00    0.00   13.40    0.00    8.25    0.00    0.00    0.00   78.35
11:01:23       6    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
11:01:23       7    2.04    0.00    7.14   71.43    0.00    3.06    0.00    0.00    0.00   16.33
11:01:23       8    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:23       9    3.37    0.00    5.62   91.01    0.00    0.00    0.00    0.00    0.00    0.00
11:01:23      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:23      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:23      12    4.04    0.00    9.09   86.87    0.00    0.00    0.00    0.00    0.00    0.00
11:01:23      13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:23      14    1.06    0.00    5.32   93.62    0.00    0.00    0.00    0.00    0.00    0.00
11:01:23      15    2.02    0.00    4.04   93.94    0.00    0.00    0.00    0.00    0.00    0.00

11:01:23     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:24     all    1.55    0.00    3.48   43.78    0.00    1.61    0.00    0.00    0.00   49.58
11:01:24       0    0.00    0.00    0.00    0.00    0.00    3.09    0.00    0.00    0.00   96.91
11:01:24       1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:24       2    1.05    0.00    0.00    6.32    0.00    3.16    0.00    0.00    0.00   89.47
11:01:24       3    5.32    0.00    8.51   58.51    0.00    2.13    0.00    0.00    0.00   25.53
11:01:24       4    7.61    0.00   10.87   79.35    0.00    2.17    0.00    0.00    0.00    0.00
11:01:24       5    2.06    0.00    8.25   69.07    0.00    8.25    0.00    0.00    0.00   12.37
11:01:24       6    0.00    0.00    1.02    4.08    0.00    5.10    0.00    0.00    0.00   89.80
11:01:24       7    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
11:01:24       8    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00    0.00    0.00
11:01:24       9    2.08    0.00   11.46   78.12    0.00    0.00    0.00    0.00    0.00    8.33
11:01:24      10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:24      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:24      12    3.16    0.00    5.26   91.58    0.00    0.00    0.00    0.00    0.00    0.00
11:01:24      13    1.02    0.00    1.02   31.63    0.00    0.00    0.00    0.00    0.00   66.33
11:01:24      14    1.04    0.00    5.21   93.75    0.00    0.00    0.00    0.00    0.00    0.00
11:01:24      15    2.02    0.00    4.04   93.94    0.00    0.00    0.00    0.00    0.00    0.00

11:01:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:25     all    1.55    0.00    3.41   43.81    0.00    1.48    0.00    0.00    0.00   49.74
11:01:25       0    0.00    0.00    0.00    0.00    0.00    2.08    0.00    0.00    0.00   97.92
11:01:25       1    0.00    0.00    0.00    0.00    0.00    2.04    0.00    0.00    0.00   97.96
11:01:25       2    0.00    0.00    0.00    0.00    0.00    1.08    0.00    0.00    0.00   98.92
11:01:25       3    5.38    0.00    6.45   70.97    0.00    4.30    0.00    0.00    0.00   12.90
11:01:25       4    1.02    0.00    0.00   10.20    0.00    1.02    0.00    0.00    0.00   87.76
11:01:25       5    3.26    0.00    9.78   50.00    0.00    4.35    0.00    0.00    0.00   32.61
11:01:25       6    2.06    0.00    4.12   22.68    0.00    6.19    0.00    0.00    0.00   64.95
11:01:25       7    3.03    0.00    4.04   49.49    0.00    3.03    0.00    0.00    0.00   40.40
11:01:25       8    0.00    0.00    1.00   98.00    0.00    0.00    0.00    0.00    0.00    1.00
11:01:25       9    2.08    0.00   13.54   84.38    0.00    0.00    0.00    0.00    0.00    0.00
11:01:25      10    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
11:01:25      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:25      12    4.08    0.00    6.12   89.80    0.00    0.00    0.00    0.00    0.00    0.00
11:01:25      13    1.00    0.00    7.00   53.00    0.00    0.00    0.00    0.00    0.00   39.00
11:01:25      14    2.06    0.00    3.09   75.26    0.00    0.00    0.00    0.00    0.00   19.59
11:01:25      15    1.06    0.00    0.00   98.94    0.00    0.00    0.00    0.00    0.00    0.00

11:01:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:26     all    1.75    0.00    3.10   43.83    0.00    1.68    0.00    0.00    0.00   49.64
11:01:26       0    1.08    0.00    0.00    0.00    0.00    1.08    0.00    0.00    0.00   97.85
11:01:26       1    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
11:01:26       2    0.00    0.00    0.00    0.00    0.00    2.08    0.00    0.00    0.00   97.92
11:01:26       3    1.09    0.00    2.17   16.30    0.00    2.17    0.00    0.00    0.00   78.26
11:01:26       4    2.06    0.00    6.19   41.24    0.00    2.06    0.00    0.00    0.00   48.45
11:01:26       5    7.78    0.00    7.78   72.22    0.00    8.89    0.00    0.00    0.00    3.33
11:01:26       6    3.00    0.00    3.00   23.00    0.00    7.00    0.00    0.00    0.00   64.00
11:01:26       7    2.13    0.00    6.38   88.30    0.00    3.19    0.00    0.00    0.00    0.00
11:01:26       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:26       9    4.12    0.00   10.31   85.57    0.00    0.00    0.00    0.00    0.00    0.00
11:01:26      10    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00
11:01:26      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:26      12    3.16    0.00    4.21   92.63    0.00    0.00    0.00    0.00    0.00    0.00
11:01:26      13    2.02    0.00    7.07   90.91    0.00    0.00    0.00    0.00    0.00    0.00
11:01:26      14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:26      15    2.04    0.00    3.06   94.90    0.00    0.00    0.00    0.00    0.00    0.00

11:01:26     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:27     all    1.63    0.00    3.12   42.77    0.00    1.69    0.00    0.00    0.00   50.78
11:01:27       0    1.06    0.00    2.13   17.02    0.00    2.13    0.00    0.00    0.00   77.66
11:01:27       1    0.00    0.00    0.00    0.00    0.00    1.03    0.00    0.00    0.00   98.97
11:01:27       2    0.00    0.00    0.00    1.08    0.00    1.08    0.00    0.00    0.00   97.85
11:01:27       3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:27       4    2.06    0.00    9.28   48.45    0.00    0.00    0.00    0.00    0.00   40.21
11:01:27       5    0.00    0.00    1.03    6.19    0.00    7.22    0.00    0.00    0.00   85.57
11:01:27       6    1.94    0.00    2.91   13.59    0.00    9.71    0.00    0.00    0.00   71.84
11:01:27       7    2.08    0.00    3.12   65.62    0.00    5.21    0.00    0.00    0.00   23.96
11:01:27       8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:27       9    5.21    0.00    9.38   85.42    0.00    0.00    0.00    0.00    0.00    0.00
11:01:27      10    1.01    0.00    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00
11:01:27      11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:01:27      12    2.13    0.00    4.26   93.62    0.00    0.00    0.00    0.00    0.00    0.00
11:01:27      13    4.08    0.00    5.10   90.82    0.00    0.00    0.00    0.00    0.00    0.00
11:01:27      14    4.60    0.00   10.34   71.26    0.00    0.00    0.00    0.00    0.00   13.79
11:01:27      15    2.08    0.00    3.12   94.79    0.00    0.00    0.00    0.00    0.00    0.00

11:01:27     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:01:28     all    1.92    0.00    3.90   41.63    0.00    1.98    0.00    0.00    0.00   50.57
11:01:28       0    2.00    0.00    5.00   20.00    0.00    4.00    0.00    0.00    0.00   69.00
11:01:28       1    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
