2026/03/14 17:49:06 no config path specified; using /var/lib/derper/derper.key
2026/03/14 17:49:06 STUN server listening on [::]:3478
2026/03/14 17:49:06 No mesh key configured
2026/03/14 17:49:06 derper: serving on :3340 with TLS
2026/03/14 17:49:10 http: TLS handshake error from 10.10.0.3:59218: unexpected EOF
gc 1 @4.033s 0%: 0.13+1.3+0.044 ms clock, 2.1+0.29/1.2/0+0.71 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 2 @4.036s 0%: 0.15+0.97+0.052 ms clock, 2.5+1.3/1.4/0+0.83 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 3 @4.037s 0%: 0.15+1.4+0.11 ms clock, 2.5+5.4/1.8/0+1.8 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 4 @4.040s 0%: 0.23+0.99+0.12 ms clock, 3.7+0.78/0.94/0+2.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 5 @4.042s 0%: 0.16+1.5+0.13 ms clock, 2.7+0.83/0.90/0+2.1 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 6 @4.045s 0%: 0.17+0.56+0.16 ms clock, 2.8+0.63/0.82/0+2.5 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 7 @4.046s 0%: 0.17+2.0+0.019 ms clock, 2.7+0.72/0.69/0.011+0.31 ms cpu, 3->6->3 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 8 @4.050s 0%: 0.16+1.2+0.34 ms clock, 2.6+0.65/1.0/0+5.5 ms cpu, 6->8->2 MB, 8 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 9 @4.052s 0%: 0.12+0.84+0.13 ms clock, 1.9+0.69/0.83/0+2.2 ms cpu, 5->6->2 MB, 6 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 10 @4.054s 0%: 0.15+0.67+0.14 ms clock, 2.4+0.79/1.0/0+2.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 11 @4.056s 0%: 0.14+0.49+0.13 ms clock, 2.2+0.69/0.88/0+2.2 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 12 @4.058s 0%: 0.21+0.64+0.20 ms clock, 3.3+0.79/0.89/0+3.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 13 @4.059s 0%: 0.13+0.71+0.16 ms clock, 2.1+0.61/0.95/0+2.6 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 14 @4.061s 0%: 0.16+0.58+0.089 ms clock, 2.5+0.72/0.91/0+1.4 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 15 @4.063s 0%: 0.15+0.60+0.22 ms clock, 2.4+0.59/1.0/0+3.5 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 16 @4.065s 0%: 0.12+0.48+0.17 ms clock, 1.9+0.50/0.95/0+2.7 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 17 @4.066s 0%: 0.21+0.64+0.14 ms clock, 3.5+0.58/0.88/0+2.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 18 @4.068s 0%: 0.21+0.70+0.099 ms clock, 3.4+0.61/0.91/0+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 19 @4.070s 0%: 0.16+0.52+0.15 ms clock, 2.6+0.67/0.85/0+2.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 20 @4.071s 0%: 0.12+0.80+0.19 ms clock, 1.9+0.45/1.1/0.13+3.0 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 21 @4.073s 0%: 0.18+0.62+0.23 ms clock, 2.9+0.75/0.82/0+3.7 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 22 @4.075s 0%: 0.19+0.69+0.12 ms clock, 3.1+0.61/1.2/0+2.0 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 23 @4.077s 0%: 0.10+0.55+0.13 ms clock, 1.7+0.64/0.82/0+2.2 ms cpu, 4->4->1 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 24 @4.079s 0%: 0.16+0.80+0.20 ms clock, 2.6+0.54/0.99/0+3.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 25 @4.081s 0%: 0.13+0.70+0.19 ms clock, 2.1+0.45/1.0/0+3.1 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 26 @4.082s 0%: 0.20+0.62+0.15 ms clock, 3.2+0.71/1.0/0+2.5 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 27 @4.084s 0%: 0.11+0.77+0.15 ms clock, 1.8+0.63/0.96/0+2.5 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
