2026/03/14 08:05:21 Running in dev mode.
2026/03/14 08:05:21 STUN server listening on [::]:3478
2026/03/14 08:05:21 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 08:05:21 No mesh key configured for --dev mode
2026/03/14 08:05:21 derper: serving on :3340
gc 32 @34.451s 0%: 0.032+0.72+0.011 ms clock, 0.064+0.69/0.33/0+0.022 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 33 @34.468s 0%: 0.61+0.48+0.035 ms clock, 1.2+0.32/0.69/0+0.070 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 34 @34.484s 0%: 0.047+0.69+0.003 ms clock, 0.095+0.60/0.38/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 35 @34.501s 0%: 0.012+0.81+0.003 ms clock, 0.024+0.71/0.46/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 36 @34.518s 0%: 0.035+0.72+0.003 ms clock, 0.070+0.67/0.38/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 37 @34.536s 0%: 0.036+0.74+0.002 ms clock, 0.072+0.70/0.38/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 38 @34.555s 0%: 0.059+0.68+0.002 ms clock, 0.11+0.60/0.36/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 39 @34.573s 0%: 0.015+0.70+0.026 ms clock, 0.031+0.69/0.36/0+0.053 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 40 @34.592s 0%: 0.020+1.1+0.003 ms clock, 0.041+0.49/0.51/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 41 @34.611s 0%: 0.028+0.83+0.016 ms clock, 0.056+0.75/0.42/0+0.032 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
