Linux 6.12.74+deb13+1-cloud-amd64 (ip-10-20-0-10) 	03/15/26 	_x86_64_	(8 CPU)

12:16:45     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:52       2    9.57    0.00    7.45    0.00    0.00    2.13    0.00    0.00    0.00   80.85
12:16:52       3    9.28    0.00   10.31    0.00    0.00    1.03    0.00    0.00    0.00   79.38
12:16:52       4    8.33    0.00    4.17    0.00    0.00    8.33    0.00    0.00    0.00   79.17
12:16:52       5   10.89    0.00    5.94    0.00    0.00    8.91    0.00    0.00    0.00   74.26
12:16:52       6    9.68    0.00    6.45    0.00    0.00    5.38    0.00    0.00    0.00   78.49
12:16:52       7   10.64    0.00    6.38    0.00    0.00    2.13    0.00    0.00    0.00   80.85

12:16:52     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:53     all   10.91    0.00    6.10    0.00    0.00    3.12    0.00    0.00    0.00   79.87
12:16:53       0    9.28    0.00    7.22    0.00    0.00    0.00    0.00    0.00    0.00   83.51
12:16:53       1    8.51    0.00    5.32    0.00    0.00    0.00    0.00    0.00    0.00   86.17
12:16:53       2   10.99    0.00    6.59    0.00    0.00    1.10    0.00    0.00    0.00   81.32
12:16:53       3    9.68    0.00    6.45    0.00    0.00    0.00    0.00    0.00    0.00   83.87
12:16:53       4   11.34    0.00    4.12    0.00    0.00    8.25    0.00    0.00    0.00   76.29
12:16:53       5   12.15    0.00    7.48    0.00    0.00    8.41    0.00    0.00    0.00   71.96
12:16:53       6   11.70    0.00    6.38    0.00    0.00    3.19    0.00    0.00    0.00   78.72
12:16:53       7   13.40    0.00    5.15    0.00    0.00    3.09    0.00    0.00    0.00   78.35

12:16:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:54     all    9.82    0.00    5.63    0.00    0.00    3.93    0.00    0.00    0.00   80.63
12:16:54       0   10.64    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   85.11
12:16:54       1    9.28    0.00    8.25    0.00    0.00    1.03    0.00    0.00    0.00   81.44
12:16:54       2    7.95    0.00    6.82    0.00    0.00    1.14    0.00    0.00    0.00   84.09
12:16:54       3    7.53    0.00    4.30    0.00    0.00    1.08    0.00    0.00    0.00   87.10
12:16:54       4   12.12    0.00    5.05    0.00    0.00    7.07    0.00    0.00    0.00   75.76
12:16:54       5    9.71    0.00    6.80    0.00    0.00    7.77    0.00    0.00    0.00   75.73
12:16:54       6    6.52    0.00    5.43    0.00    0.00    7.61    0.00    0.00    0.00   80.43
12:16:54       7   14.29    0.00    4.08    0.00    0.00    5.10    0.00    0.00    0.00   76.53

12:16:54     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:55     all    9.54    0.00    5.10    0.00    0.00    5.10    0.00    0.00    0.00   80.26
12:16:55       0    9.47    0.00    4.21    0.00    0.00    2.11    0.00    0.00    0.00   84.21
12:16:55       1    8.60    0.00    3.23    0.00    0.00    0.00    0.00    0.00    0.00   88.17
12:16:55       2    8.33    0.00    6.25    0.00    0.00    8.33    0.00    0.00    0.00   77.08
12:16:55       3    9.18    0.00    6.12    0.00    0.00    2.04    0.00    0.00    0.00   82.65
12:16:55       4    7.29    0.00    5.21    0.00    0.00    9.38    0.00    0.00    0.00   78.12
12:16:55       5    9.38    0.00    5.21    0.00    0.00    6.25    0.00    0.00    0.00   79.17
12:16:55       6   11.83    0.00    5.38    0.00    0.00    5.38    0.00    0.00    0.00   77.42
12:16:55       7   12.24    0.00    5.10    0.00    0.00    7.14    0.00    0.00    0.00   75.51

12:16:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:56     all    7.92    0.00    5.01    0.00    0.00    5.94    0.00    0.00    0.00   81.13
12:16:56       0    8.60    0.00    5.38    0.00    0.00    0.00    0.00    0.00    0.00   86.02
12:16:56       1   10.87    0.00    4.35    0.00    0.00    1.09    0.00    0.00    0.00   83.70
12:16:56       2    5.71    0.00    4.76    0.00    0.00   17.14    0.00    0.00    0.00   72.38
12:16:56       3    5.68    0.00    3.41    0.00    0.00    0.00    0.00    0.00    0.00   90.91
12:16:56       4    6.86    0.00    5.88    0.00    0.00   13.73    0.00    0.00    0.00   73.53
12:16:56       5   10.75    0.00    4.30    0.00    0.00    4.30    0.00    0.00    0.00   80.65
12:16:56       6    5.43    0.00    6.52    0.00    0.00    5.43    0.00    0.00    0.00   82.61
12:16:56       7    9.68    0.00    5.38    0.00    0.00    3.23    0.00    0.00    0.00   81.72

12:16:56     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:57     all    8.02    0.00    4.60    0.00    0.00    6.31    0.00    0.00    0.00   81.08
12:16:57       0   10.42    0.00    6.25    0.00    0.00    1.04    0.00    0.00    0.00   82.29
12:16:57       1    7.87    0.00    4.49    0.00    0.00    0.00    0.00    0.00    0.00   87.64
12:16:57       2    7.92    0.00    6.93    0.00    0.00   11.88    0.00    0.00    0.00   73.27
12:16:57       3   10.31    0.00    5.15    0.00    0.00    1.03    0.00    0.00    0.00   83.51
12:16:57       4    6.00    0.00    3.00    0.00    0.00   13.00    0.00    0.00    0.00   78.00
12:16:57       5    7.95    0.00    1.14    0.00    0.00    4.55    0.00    0.00    0.00   86.36
12:16:57       6    6.19    0.00    4.12    0.00    0.00   13.40    0.00    0.00    0.00   76.29
12:16:57       7    7.53    0.00    5.38    0.00    0.00    4.30    0.00    0.00    0.00   82.80

12:16:57     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:58     all    7.80    0.00    5.16    0.00    0.00    5.82    0.00    0.00    0.00   81.22
12:16:58       0    3.37    0.00    3.37    0.00    0.00    1.12    0.00    0.00    0.00   92.13
12:16:58       1    7.87    0.00    4.49    0.00    0.00    0.00    0.00    0.00    0.00   87.64
12:16:58       2   11.22    0.00    4.08    0.00    0.00    6.12    0.00    0.00    0.00   78.57
12:16:58       3    8.33    0.00    7.29    0.00    0.00    1.04    0.00    0.00    0.00   83.33
12:16:58       4    7.61    0.00    2.17    0.00    0.00    9.78    0.00    0.00    0.00   80.43
12:16:58       5    8.70    0.00    6.52    0.00    0.00    4.35    0.00    0.00    0.00   80.43
12:16:58       6    7.77    0.00    4.85    0.00    0.00   16.50    0.00    0.00    0.00   70.87
12:16:58       7    7.22    0.00    8.25    0.00    0.00    6.19    0.00    0.00    0.00   78.35

12:16:58     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:16:59     all    7.77    0.00    4.83    0.00    0.00    4.96    0.00    0.00    0.00   82.44
12:16:59       0    8.89    0.00    3.33    0.00    0.00    2.22    0.00    0.00    0.00   85.56
12:16:59       1    6.32    0.00    7.37    0.00    0.00    1.05    0.00    0.00    0.00   85.26
12:16:59       2    6.45    0.00    3.23    0.00    0.00    8.60    0.00    0.00    0.00   81.72
12:16:59       3    8.60    0.00    6.45    0.00    0.00    1.08    0.00    0.00    0.00   83.87
12:16:59       4    6.25    0.00    6.25    0.00    0.00    6.25    0.00    0.00    0.00   81.25
12:16:59       5    8.99    0.00    4.49    0.00    0.00    2.25    0.00    0.00    0.00   84.27
12:16:59       6    7.14    0.00    3.06    0.00    0.00   16.33    0.00    0.00    0.00   73.47
