Linux 6.12.74+deb13+1-amd64 (hd-test01) 	03/17/2026 	_x86_64_	(12 CPU)

01:41:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:24 PM  all    0.59    0.00    0.17   32.19    0.00    0.00    0.00    0.00    0.00   67.06
01:41:24 PM    0    1.03    0.00    0.00   98.97    0.00    0.00    0.00    0.00    0.00    0.00
01:41:24 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:24 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:24 PM    3    2.04    0.00    0.00   97.96    0.00    0.00    0.00    0.00    0.00    0.00
01:41:24 PM    4    2.02    0.00    1.01   96.97    0.00    0.00    0.00    0.00    0.00    0.00
01:41:24 PM    5    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
01:41:24 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:24 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:24 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:24 PM    9    2.00    0.00    1.00   73.00    0.00    0.00    0.00    0.00    0.00   24.00
01:41:24 PM   10    0.00    0.00    0.00   23.00    0.00    0.00    0.00    0.00    0.00   77.00
01:41:24 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:41:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:25 PM  all    2.65    0.00   23.04    5.12    0.00    4.86    0.00    0.00    0.00   64.33
01:41:25 PM    0    1.00    0.00   15.00   17.00    0.00    4.00    0.00    0.00    0.00   63.00
01:41:25 PM    1    2.08    0.00   12.50    3.12    0.00    4.17    0.00    0.00    0.00   78.12
01:41:25 PM    2    4.08    0.00   40.82    0.00    0.00    9.18    0.00    0.00    0.00   45.92
01:41:25 PM    3    0.00    0.00    1.03    1.03    0.00    3.09    0.00    0.00    0.00   94.85
01:41:25 PM    4    7.14    0.00   48.98    4.08    0.00    7.14    0.00    0.00    0.00   32.65
01:41:25 PM    5    3.06    0.00   14.29    0.00    0.00    4.08    0.00    0.00    0.00   78.57
01:41:25 PM    6    0.00    0.00    2.08    1.04    0.00    6.25    0.00    0.00    0.00   90.62
01:41:25 PM    7    4.12    0.00   48.45    0.00    0.00    4.12    0.00    0.00    0.00   43.30
01:41:25 PM    8    5.21    0.00   35.42    0.00    0.00   10.42    0.00    0.00    0.00   48.96
01:41:25 PM    9    1.02    0.00   22.45   31.63    0.00    3.06    0.00    0.00    0.00   41.84
01:41:25 PM   10    4.04    0.00   30.30    3.03    0.00    2.02    0.00    0.00    0.00   60.61
01:41:25 PM   11    0.00    0.00    5.05    0.00    0.00    1.01    0.00    0.00    0.00   93.94

01:41:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:26 PM  all    2.71    0.00   24.37    4.06    0.00    4.99    0.00    0.00    0.00   63.87
01:41:26 PM    0    1.00    0.00   18.00   23.00    0.00    4.00    0.00    0.00    0.00   54.00
01:41:26 PM    1    0.00    0.00    0.00    0.00    0.00    4.08    0.00    0.00    0.00   95.92
01:41:26 PM    2    1.03    0.00   18.56    0.00    0.00    7.22    0.00    0.00    0.00   73.20
01:41:26 PM    3    1.03    0.00    9.28    8.25    0.00    3.09    0.00    0.00    0.00   78.35
01:41:26 PM    4    0.00    0.00    8.42    1.05    0.00    4.21    0.00    0.00    0.00   86.32
01:41:26 PM    5    4.00    0.00   30.00    0.00    0.00    6.00    0.00    0.00    0.00   60.00
01:41:26 PM    6    1.01    0.00    2.02    1.01    0.00    8.08    0.00    0.00    0.00   87.88
01:41:26 PM    7    0.00    0.00    0.00    0.00    0.00    1.04    0.00    0.00    0.00   98.96
01:41:26 PM    8    4.08    0.00   60.20    0.00    0.00   15.31    0.00    0.00    0.00   20.41
01:41:26 PM    9    0.98    0.00   13.73   14.71    0.00    1.96    0.00    0.00    0.00   68.63
01:41:26 PM   10   11.00    0.00   76.00    0.00    0.00    3.00    0.00    0.00    0.00   10.00
01:41:26 PM   11    8.00    0.00   54.00    0.00    0.00    2.00    0.00    0.00    0.00   36.00

01:41:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:27 PM  all    2.81    0.00   23.72    4.42    0.00    4.25    0.00    0.00    0.00   64.80
01:41:27 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:27 PM    1    0.00    0.00    0.00    0.00    0.00    2.04    0.00    0.00    0.00   97.96
01:41:27 PM    2    0.00    0.00    2.11    0.00    0.00    2.11    0.00    0.00    0.00   95.79
01:41:27 PM    3    2.06    0.00   10.31   12.37    0.00    5.15    0.00    0.00    0.00   70.10
01:41:27 PM    4    8.08    0.00   45.45    0.00    0.00    6.06    0.00    0.00    0.00   40.40
01:41:27 PM    5    2.11    0.00   18.95    0.00    0.00    3.16    0.00    0.00    0.00   75.79
01:41:27 PM    6    0.00    0.00    0.00    0.00    0.00    4.17    0.00    0.00    0.00   95.83
01:41:27 PM    7    0.00    0.00    0.00    0.00    0.00    3.06    0.00    0.00    0.00   96.94
01:41:27 PM    8    4.04    0.00   79.80    0.00    0.00   14.14    0.00    0.00    0.00    2.02
01:41:27 PM    9    2.02    0.00   28.28   40.40    0.00    3.03    0.00    0.00    0.00   26.26
01:41:27 PM   10    5.00    0.00   34.00    0.00    0.00    4.00    0.00    0.00    0.00   57.00
01:41:27 PM   11   10.00    0.00   63.00    0.00    0.00    4.00    0.00    0.00    0.00   23.00

01:41:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:41:28 PM  all    2.80    0.00   24.09    4.33    0.00    4.41    0.00    0.00    0.00   64.38
01:41:28 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:41:28 PM    1    0.00    0.00    0.00    0.00    0.00    2.08    0.00    0.00    0.00   97.92
01:41:28 PM    2    3.09    0.00   28.87    0.00    0.00    3.09    0.00    0.00    0.00   64.95
01:41:28 PM    3    0.00    0.00    6.12    8.16    0.00    6.12    0.00    0.00    0.00   79.59
01:41:28 PM    4   10.00    0.00   71.00    0.00    0.00    8.00    0.00    0.00    0.00   11.00
01:41:28 PM    5    3.03    0.00   19.19    0.00    0.00    6.06    0.00    0.00    0.00   71.72
01:41:28 PM    6    0.00    0.00    0.00    0.00    0.00    3.16    0.00    0.00    0.00   96.84
