2026/03/15 10:59:31 no config path specified; using /var/lib/derper/derper.key
2026/03/15 10:59:31 STUN server listening on [::]:3478
2026/03/15 10:59:31 No mesh key configured
2026/03/15 10:59:31 derper: serving on :3340 with TLS
2026/03/15 10:59:35 http: TLS handshake error from 10.20.0.20:56496: unexpected EOF
gc 32 @4.159s 0%: 0.11+0.57+0.11 ms clock, 1.7+0.52/0.98/0+1.7 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 33 @4.160s 0%: 0.15+0.62+0.070 ms clock, 2.5+0.64/0.89/0+1.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 34 @4.162s 0%: 0.15+0.61+0.11 ms clock, 2.4+0.69/1.0/0+1.9 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 35 @4.164s 0%: 0.15+0.53+0.16 ms clock, 2.5+0.69/0.79/0.068+2.6 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 36 @4.165s 0%: 0.17+0.94+0.086 ms clock, 2.8+0.60/0.95/0+1.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 37 @4.168s 0%: 0.11+0.68+0.063 ms clock, 1.8+0.91/0.85/0+1.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 38 @4.169s 0%: 0.11+0.67+0.096 ms clock, 1.7+0.74/0.98/0.010+1.5 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 39 @4.171s 0%: 0.13+0.49+0.13 ms clock, 2.1+0.72/0.92/0.015+2.1 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 40 @4.173s 0%: 0.13+0.77+0.074 ms clock, 2.1+0.55/0.87/0.006+1.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 41 @4.175s 0%: 0.19+0.67+0.093 ms clock, 3.0+0.63/1.0/0.014+1.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 42 @4.177s 0%: 0.14+0.68+0.12 ms clock, 2.2+0.58/1.0/0.024+1.9 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 43 @4.179s 0%: 0.18+0.58+0.098 ms clock, 2.9+0.58/0.98/0+1.5 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 44 @4.180s 0%: 0.11+0.66+0.17 ms clock, 1.8+0.86/1.1/0.003+2.8 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 45 @4.182s 0%: 0.12+0.75+0.10 ms clock, 2.0+0.70/0.85/0.017+1.6 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 46 @4.184s 0%: 0.10+0.64+0.11 ms clock, 1.6+0.59/0.87/0.056+1.7 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 47 @4.186s 0%: 0.14+0.73+0.081 ms clock, 2.3+0.61/1.0/0.029+1.3 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 48 @4.188s 0%: 0.15+0.73+0.089 ms clock, 2.5+0.45/1.0/0.023+1.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 49 @4.190s 0%: 0.16+0.66+0.11 ms clock, 2.6+0.60/0.87/0+1.8 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 50 @4.192s 0%: 0.17+0.68+0.062 ms clock, 2.8+0.69/0.99/0+0.99 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 51 @4.194s 0%: 0.11+0.58+0.099 ms clock, 1.7+0.46/1.0/0+1.5 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 52 @4.196s 0%: 0.13+0.65+0.10 ms clock, 2.1+0.76/0.89/0+1.7 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 53 @4.198s 0%: 0.10+0.63+0.11 ms clock, 1.6+0.73/0.97/0+1.7 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 54 @4.199s 0%: 0.12+0.63+0.12 ms clock, 1.9+0.70/0.79/0+1.9 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 55 @4.201s 0%: 0.11+0.54+0.077 ms clock, 1.8+0.59/0.90/0+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 56 @4.202s 0%: 0.10+0.55+0.11 ms clock, 1.6+0.48/0.94/0+1.8 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 57 @4.204s 0%: 0.14+0.73+0.082 ms clock, 2.2+0.68/0.88/0.013+1.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 58 @4.206s 0%: 0.14+0.56+0.13 ms clock, 2.2+0.80/0.83/0+2.1 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 59 @4.208s 0%: 0.14+0.46+0.18 ms clock, 2.3+0.63/0.69/0.12+2.9 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 60 @4.209s 0%: 0.18+0.87+0.10 ms clock, 2.8+0.65/0.89/0+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 61 @4.211s 0%: 0.12+0.59+0.18 ms clock, 1.9+0.92/0.98/0+2.9 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 62 @4.213s 0%: 0.17+0.50+0.19 ms clock, 2.8+0.62/0.85/0+3.1 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 63 @4.215s 0%: 0.11+0.69+0.10 ms clock, 1.9+0.54/1.1/0.032+1.6 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 64 @4.217s 0%: 0.12+0.61+0.19 ms clock, 1.9+0.75/0.93/0+3.0 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 65 @4.218s 0%: 0.12+0.67+0.088 ms clock, 2.0+0.59/0.98/0.10+1.4 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 66 @4.220s 0%: 0.16+0.77+0.13 ms clock, 2.5+0.61/0.93/0+2.0 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 67 @4.222s 0%: 0.11+0.52+0.17 ms clock, 1.8+0.62/0.98/0+2.8 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 68 @4.224s 0%: 0.13+0.67+0.085 ms clock, 2.1+0.56/1.1/0.001+1.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 69 @4.226s 0%: 0.11+0.57+0.14 ms clock, 1.8+0.66/0.90/0+2.3 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
gc 70 @4.227s 0%: 0.23+0.63+0.085 ms clock, 3.7+0.61/0.85/0+1.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 16 P
