timestamp,total_cpu_pct,hd_cpu_pct,ts_cpu_pct
1773421519,0.6,0.00.0,0.00.0
1773421520,0.5,0.00.0,0.00.0
1773421521,0.1,0.00.0,0.00.0
1773421522,0.4,0.00.0,0.00.0
1773421523,0.2,0.00.0,0.00.0
1773421524,0.2,0.00.0,0.00.0
1773421525,0.2,0.00.0,0.00.0
1773421526,1.0,0.00.0,0.00.0
1773421527,0.2,0.00.0,0.00.0
1773421528,0.7,0.00.0,0.00.0
1773421530,0.6,0.00.0,0.00.0
1773421531,1.7,0.00.0,1.2
1773421532,0.1,0.00.0,0.5
1773421533,0.2,0.00.0,0.3
1773421534,0.7,0.00.0,0.2
1773421535,12.5,0.00.0,17.3
1773421536,23.7,0.00.0,43.9
1773421537,23.2,0.00.0,62.6
1773421538,24.7,0.00.0,76.7
1773421539,25.1,0.00.0,87.6
1773421540,23.5,0.00.0,96.2
1773421541,23.3,0.00.0,103.0
1773421542,24.1,0.00.0,108.0
1773421543,23.1,0.00.0,113.0
1773421544,23.8,0.00.0,118.0
1773421545,25.1,0.00.0,121.0
1773421546,23.8,0.00.0,124.0
1773421547,23.8,0.00.0,127.0
1773421548,23.1,0.00.0,130.0
1773421549,6.4,0.00.0,125.0
1773421550,0.4,0.00.0,119.0
1773421551,0.1,0.00.0,113.0
1773421552,0.2,0.00.0,108.0
1773421553,16.6,0.00.0,108.0
1773421554,24.3,0.00.0,111.0
1773421555,23.6,0.00.0,113.0
1773421556,24.1,0.00.0,116.0
1773421557,23.6,0.00.0,118.0
1773421558,24.7,0.00.0,120.0
1773421559,23.7,0.00.0,121.0
1773421560,23.2,0.00.0,123.0
1773421561,23.3,0.00.0,125.0
1773421562,24.3,0.00.0,126.0
1773421563,24.0,0.00.0,127.0
1773421564,24.3,0.00.0,129.0
1773421565,23.5,0.00.0,130.0
1773421566,23.4,0.00.0,131.0
1773421567,1.1,0.00.0,128.0
1773421568,0.2,0.00.0,124.0
1773421569,0.2,0.00.0,121.0
1773421570,0.2,0.00.0,118.0
1773421571,21.0,0.00.0,119.0
1773421572,24.3,0.00.0,120.0
1773421573,24.6,0.00.0,121.0
1773421574,23.4,0.00.0,122.0
1773421575,24.2,0.00.0,123.0
1773421576,24.1,0.00.0,124.0
1773421577,22.8,0.00.0,125.0
1773421578,24.1,0.00.0,126.0
1773421579,24.4,0.00.0,127.0
1773421580,23.5,0.00.0,128.0
1773421582,23.7,0.00.0,128.0
1773421583,24.0,0.00.0,129.0
1773421584,23.8,0.00.0,130.0
1773421585,19.6,0.00.0,130.0
1773421586,0.2,0.00.0,128.0
1773421587,0.1,0.00.0,125.0
1773421588,0.4,0.00.0,123.0
1773421589,4.0,0.00.0,122.0
1773421590,40.1,0.00.0,124.0
1773421591,38.1,0.00.0,126.0
1773421592,38.2,0.00.0,129.0
1773421593,38.3,0.00.0,131.0
1773421594,36.8,0.00.0,133.0
1773421595,38.1,0.00.0,135.0
1773421596,37.8,0.00.0,137.0
1773421597,39.2,0.00.0,138.0
1773421598,37.8,0.00.0,140.0
1773421599,38.8,0.00.0,142.0
1773421600,38.5,0.00.0,144.0
1773421601,38.2,0.00.0,145.0
1773421602,39.4,0.00.0,147.0
1773421603,21.4,0.00.0,147.0
1773421604,0.2,0.00.0,145.0
1773421605,0.2,0.00.0,143.0
1773421606,0.4,0.00.0,141.0
1773421607,13.5,0.00.0,140.0
1773421608,38.9,0.00.0,142.0
1773421609,40.5,0.00.0,143.0
1773421610,38.8,0.00.0,145.0
1773421611,38.1,0.00.0,146.0
1773421612,38.3,0.00.0,148.0
1773421613,38.3,0.00.0,149.0
1773421614,38.7,0.00.0,150.0
1773421615,38.8,0.00.0,151.0
1773421616,38.1,0.00.0,153.0
1773421617,39.5,0.00.0,154.0
1773421618,38.4,0.00.0,155.0
1773421619,38.2,0.00.0,156.0
1773421620,37.2,0.00.0,157.0
1773421621,12.8,0.00.0,156.0
1773421622,0.4,0.00.0,155.0
1773421623,0.2,0.00.0,153.0
1773421624,0.2,0.00.0,151.0
1773421625,24.3,0.00.0,152.0
1773421626,37.4,0.00.0,153.0
1773421627,36.5,0.00.0,154.0
1773421628,38.5,0.00.0,155.0
1773421630,38.1,0.00.0,156.0
1773421631,38.0,0.00.0,157.0
1773421632,38.2,0.00.0,158.0
1773421633,39.8,0.00.0,159.0
1773421634,37.9,0.00.0,160.0
1773421635,38.0,0.00.0,161.0
1773421636,38.0,0.00.0,162.0
1773421637,38.5,0.00.0,162.0
1773421638,38.1,0.00.0,163.0
1773421639,40.0,0.00.0,164.0
1773421640,2.6,0.00.0,163.0
1773421641,0.2,0.00.0,161.0
1773421642,0.4,0.00.0,160.0
1773421643,0.2,0.00.0,158.0
1773421644,52.9,0.00.0,160.0
1773421645,59.3,0.00.0,162.0
1773421646,59.1,0.00.0,164.0
1773421647,58.3,0.00.0,166.0
1773421648,59.9,0.00.0,168.0
1773421649,57.7,0.00.0,170.0
1773421650,56.9,0.00.0,172.0
1773421651,60.0,0.00.0,174.0
1773421652,59.6,0.00.0,176.0
1773421653,58.3,0.00.0,178.0
1773421654,60.8,0.00.0,180.0
1773421655,55.9,0.00.0,182.0
1773421656,59.4,0.00.0,183.0
1773421657,44.0,0.00.0,184.0
1773421658,0.4,0.00.0,183.0
1773421659,0.1,0.00.0,181.0
1773421660,0.2,0.00.0,180.0
1773421661,11.1,0.00.0,179.0
1773421662,58.7,0.00.0,181.0
1773421663,60.5,0.00.0,183.0
1773421664,58.2,0.00.0,184.0
1773421665,58.1,0.00.0,186.0
1773421666,59.1,0.00.0,188.0
1773421667,59.0,0.00.0,189.0
1773421668,59.4,0.00.0,191.0
1773421669,58.9,0.00.0,192.0
1773421670,58.6,0.00.0,194.0
1773421671,58.9,0.00.0,195.0
1773421673,59.7,0.00.0,197.0
1773421674,59.1,0.00.0,198.0
1773421675,60.3,0.00.0,199.0
1773421676,28.4,0.00.0,199.0
1773421677,0.1,0.00.0,198.0
1773421678,0.4,0.00.0,197.0
1773421679,0.2,0.00.0,195.0
1773421680,27.3,0.00.0,195.0
1773421681,58.7,0.00.0,197.0
1773421682,56.8,0.00.0,198.0
1773421683,58.3,0.00.0,199.0
1773421684,57.7,0.00.0,201.0
1773421685,58.2,0.00.0,202.0
1773421686,57.4,0.00.0,203.0
1773421687,57.8,0.00.0,204.0
1773421688,57.0,0.00.0,205.0
1773421689,58.1,0.00.0,207.0
1773421690,57.1,0.00.0,208.0
1773421691,57.1,0.00.0,209.0
1773421692,57.2,0.00.0,210.0
1773421693,57.3,0.00.0,211.0
1773421694,8.8,0.00.0,210.0
1773421695,0.2,0.00.0,209.0
1773421696,0.4,0.00.0,208.0
1773421697,0.2,0.00.0,207.0
1773421698,55.1,0.00.0,208.0
1773421699,68.5,0.00.0,209.0
1773421700,66.4,0.00.0,211.0
1773421701,68.2,0.00.0,212.0
1773421702,68.8,0.00.0,214.0
1773421703,66.9,0.00.0,216.0
1773421704,67.2,0.00.0,217.0
1773421705,66.5,0.00.0,219.0
1773421706,67.0,0.00.0,220.0
1773421707,67.5,0.00.0,221.0
1773421708,66.8,0.00.0,223.0
1773421709,67.4,0.00.0,224.0
1773421710,66.8,0.00.0,226.0
1773421711,56.2,0.00.0,227.0
1773421712,0.1,0.00.0,225.0
1773421713,0.2,0.00.0,224.0
1773421714,0.2,0.00.0,223.0
1773421716,6.5,0.00.0,222.0
1773421717,70.6,0.00.0,223.0
1773421718,70.1,0.00.0,225.0
1773421719,68.5,0.00.0,226.0
1773421720,69.2,0.00.0,228.0
1773421721,68.8,0.00.0,229.0
1773421722,69.7,0.00.0,230.0
1773421723,68.3,0.00.0,232.0
1773421724,69.0,0.00.0,233.0
1773421725,67.9,0.00.0,234.0
1773421726,68.9,0.00.0,235.0
1773421727,69.0,0.00.0,237.0
1773421728,68.1,0.00.0,238.0
1773421729,69.3,0.00.0,239.0
1773421730,34.9,0.00.0,239.0
1773421731,0.4,0.00.0,238.0
1773421732,0.4,0.00.0,237.0
1773421733,0.1,0.00.0,236.0
1773421734,29.0,0.00.0,236.0
1773421735,68.2,0.00.0,237.0
1773421736,68.1,0.00.0,238.0
1773421737,68.3,0.00.0,239.0
1773421738,69.0,0.00.0,240.0
1773421739,68.8,0.00.0,241.0
1773421740,69.8,0.00.0,243.0
1773421741,68.8,0.00.0,244.0
1773421742,68.6,0.00.0,245.0
1773421743,68.9,0.00.0,246.0
1773421744,68.5,0.00.0,247.0
1773421745,69.3,0.00.0,248.0
1773421746,69.1,0.00.0,249.0
1773421747,68.9,0.00.0,250.0
1773421748,12.4,0.00.0,250.0
1773421749,0.1,0.00.0,248.0
1773421750,0.2,0.00.0,247.0
1773421751,0.2,0.00.0,246.0
1773421752,60.9,0.00.0,247.0
1773421753,79.2,0.00.0,249.0
1773421754,77.1,0.00.0,250.0
1773421756,77.6,0.00.0,252.0
1773421757,78.0,0.00.0,253.0
1773421758,78.8,0.00.0,254.0
1773421759,78.6,0.00.0,256.0
1773421760,78.8,0.00.0,257.0
1773421761,78.4,0.00.0,259.0
1773421762,78.6,0.00.0,260.0
1773421763,77.7,0.00.0,262.0
1773421764,78.0,0.00.0,263.0
1773421765,78.3,0.00.0,264.0
1773421766,66.0,0.00.0,265.0
1773421767,0.1,0.00.0,264.0
1773421768,0.4,0.00.0,263.0
1773421769,0.2,0.00.0,262.0
1773421770,8.7,0.00.0,261.0
1773421771,79.4,0.00.0,262.0
1773421772,79.1,0.00.0,264.0
1773421773,78.6,0.00.0,265.0
1773421774,78.5,0.00.0,266.0
1773421775,79.1,0.00.0,268.0
1773421776,78.4,0.00.0,269.0
1773421777,79.0,0.00.0,270.0
1773421778,77.9,0.00.0,271.0
1773421779,78.5,0.00.0,273.0
1773421780,78.6,0.00.0,274.0
1773421781,78.8,0.00.0,275.0
1773421782,79.0,0.00.0,276.0
1773421783,78.1,0.00.0,278.0
1773421784,38.4,0.00.0,278.0
1773421785,0.2,0.00.0,276.0
1773421786,0.1,0.00.0,275.0
1773421787,0.1,0.00.0,274.0
1773421788,35.6,0.00.0,274.0
1773421789,79.2,0.00.0,275.0
1773421790,77.4,0.00.0,277.0
1773421791,77.5,0.00.0,278.0
1773421792,78.1,0.00.0,279.0
1773421794,77.6,0.00.0,280.0
1773421795,77.4,0.00.0,281.0
1773421796,77.3,0.00.0,282.0
1773421797,78.3,0.00.0,283.0
1773421798,78.3,0.00.0,285.0
1773421799,78.3,0.00.0,286.0
1773421800,77.7,0.00.0,287.0
1773421801,77.7,0.00.0,288.0
1773421802,78.0,0.00.0,289.0
1773421803,13.4,0.00.0,288.0
1773421804,0.1,0.00.0,287.0
1773421805,0.2,0.00.0,286.0
1773421806,0.1,0.00.0,285.0
1773421807,59.7,0.00.0,286.0
1773421808,78.7,0.00.0,287.0
1773421809,77.8,0.00.0,288.0
1773421810,77.2,0.00.0,289.0
1773421811,77.0,0.00.0,290.0
1773421812,77.4,0.00.0,291.0
1773421813,77.8,0.00.0,292.0
1773421814,78.2,0.00.0,293.0
1773421815,76.7,0.00.0,294.0
1773421816,78.2,0.00.0,295.0
1773421817,77.7,0.00.0,296.0
1773421818,76.9,0.00.0,297.0
1773421819,78.1,0.00.0,298.0
1773421820,65.6,0.00.0,298.0
1773421821,0.2,0.00.0,297.0
1773421822,0.1,0.00.0,296.0
1773421823,0.2,0.00.0,295.0
1773421824,6.8,0.00.0,294.0
1773421825,79.1,0.00.0,295.0
1773421826,78.5,0.00.0,296.0
1773421827,77.1,0.00.0,297.0
1773421828,78.7,0.00.0,298.0
1773421829,78.0,0.00.0,299.0
1773421830,77.9,0.00.0,300.0
1773421831,78.2,0.00.0,301.0
1773421832,77.9,0.00.0,302.0
1773421834,78.8,0.00.0,303.0
1773421835,78.8,0.00.0,304.0
1773421836,78.8,0.00.0,305.0
1773421837,78.4,0.00.0,305.0
1773421838,78.0,0.00.0,306.0
1773421839,41.3,0.00.0,306.0
1773421840,0.1,0.00.0,305.0
1773421841,0.4,0.00.0,304.0
1773421842,0.2,0.00.0,303.0
1773421843,31.6,0.00.0,303.0
1773421844,78.7,0.00.0,304.0
1773421845,78.1,0.00.0,305.0
1773421846,78.4,0.00.0,306.0
1773421847,78.3,0.00.0,307.0
1773421848,78.0,0.00.0,308.0
1773421849,77.6,0.00.0,308.0
1773421850,78.6,0.00.0,309.0
1773421851,78.1,0.00.0,310.0
1773421852,77.6,0.00.0,311.0
1773421853,78.3,0.00.0,312.0
1773421854,78.1,0.00.0,313.0
1773421855,78.2,0.00.0,313.0
1773421856,77.5,0.00.0,314.0
1773421857,17.9,0.00.0,314.0
1773421858,0.4,0.00.0,313.0
1773421859,0.4,0.00.0,312.0
1773421860,0.4,0.00.0,311.0
1773421861,56.6,0.00.0,311.0
1773421862,79.0,0.00.0,312.0
1773421863,76.5,0.00.0,313.0
1773421864,77.6,0.00.0,313.0
1773421865,77.4,0.00.0,314.0
1773421866,77.2,0.00.0,315.0
1773421867,77.6,0.00.0,316.0
1773421868,78.7,0.00.0,316.0
1773421869,78.5,0.00.0,317.0
1773421870,78.4,0.00.0,318.0
1773421871,77.7,0.00.0,319.0
1773421872,78.4,0.00.0,320.0
1773421873,77.7,0.00.0,320.0
1773421875,71.7,0.00.0,321.0
