2026/03/14 20:50:11 no config path specified; using /var/lib/derper/derper.key
2026/03/14 20:50:11 STUN server listening on [::]:3478
2026/03/14 20:50:11 No mesh key configured
2026/03/14 20:50:11 derper: serving on :3340 with TLS
2026/03/14 20:50:15 http: TLS handshake error from 10.10.0.3:59104: unexpected EOF
gc 1 @4.032s 0%: 0.40+0.90+0.043 ms clock, 1.6+0.58/0.69/0+0.17 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 2 @4.038s 0%: 0.073+2.4+0.042 ms clock, 0.29+0.67/0.88/0+0.16 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 3 @4.044s 0%: 0.052+1.3+0.054 ms clock, 0.21+0.99/0.61/0+0.21 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 4 @4.050s 0%: 0.086+0.86+0.048 ms clock, 0.34+0.89/0.69/0+0.19 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 5 @4.055s 0%: 0.083+0.68+0.082 ms clock, 0.33+0.90/0.51/0+0.33 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 6 @4.060s 0%: 0.087+0.96+0.024 ms clock, 0.35+0.47/0.65/0+0.098 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 7 @4.066s 0%: 0.067+2.2+0.040 ms clock, 0.26+0.74/0.54/0+0.16 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 8 @4.072s 0%: 0.077+1.3+0.037 ms clock, 0.31+0.69/0.71/0+0.15 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 9 @4.077s 0%: 0.049+1.4+0.064 ms clock, 0.19+0.63/0.68/0+0.25 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 10 @4.083s 0%: 0.066+0.86+0.018 ms clock, 0.26+0.47/0.63/0+0.072 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 11 @4.089s 0%: 0.077+0.57+0.021 ms clock, 0.31+0.97/0.50/0+0.087 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
