2026/03/14 19:19:35 no config path specified; using /var/lib/derper/derper.key
2026/03/14 19:19:35 STUN server listening on [::]:3478
2026/03/14 19:19:35 No mesh key configured
2026/03/14 19:19:35 derper: serving on :3340 with TLS
2026/03/14 19:19:39 http: TLS handshake error from 10.10.0.3:47034: unexpected EOF
gc 1 @4.033s 0%: 0.50+0.67+0.013 ms clock, 4.0+0.80/1.0/0+0.10 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @4.036s 0%: 0.15+0.87+0.11 ms clock, 1.2+0.91/0.89/0+0.94 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @4.039s 0%: 0.10+0.66+0.098 ms clock, 0.85+0.97/0.85/0+0.78 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @4.042s 0%: 0.097+0.91+0.088 ms clock, 0.77+1.7/0.71/0+0.70 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @4.045s 0%: 0.11+0.73+0.13 ms clock, 0.92+0.77/0.97/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @4.049s 0%: 0.076+0.55+0.13 ms clock, 0.60+0.97/0.73/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @4.052s 0%: 0.11+0.73+0.12 ms clock, 0.91+0.63/0.92/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @4.055s 0%: 0.12+0.66+0.088 ms clock, 0.98+0.88/0.75/0+0.71 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @4.058s 0%: 0.12+0.70+0.070 ms clock, 1.0+0.81/0.84/0+0.56 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @4.061s 0%: 0.11+0.62+0.061 ms clock, 0.89+0.94/0.78/0+0.48 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @4.064s 0%: 0.12+0.56+0.095 ms clock, 1.0+0.78/0.78/0+0.76 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @4.067s 0%: 0.14+0.58+0.10 ms clock, 1.1+0.73/0.75/0+0.81 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @4.070s 0%: 0.10+0.89+0.10 ms clock, 0.82+0.71/0.81/0+0.84 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @4.073s 0%: 0.15+1.0+0.070 ms clock, 1.2+0.74/0.80/0+0.56 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @4.077s 0%: 0.13+1.2+0.087 ms clock, 1.1+0.70/0.83/0+0.70 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 16 @4.080s 0%: 0.097+0.93+0.091 ms clock, 0.77+0.83/0.75/0+0.73 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 17 @4.084s 0%: 0.10+0.60+0.11 ms clock, 0.81+0.80/0.81/0+0.92 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 18 @4.087s 0%: 0.11+0.55+0.11 ms clock, 0.95+0.69/0.73/0+0.93 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 19 @4.090s 0%: 0.099+0.87+0.086 ms clock, 0.79+0.90/0.61/0+0.69 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 20 @4.093s 0%: 0.095+1.1+0.11 ms clock, 0.76+0.54/0.80/0+0.89 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 21 @4.096s 0%: 0.10+0.68+0.096 ms clock, 0.87+0.64/0.80/0+0.77 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 22 @4.099s 0%: 0.11+1.0+0.099 ms clock, 0.88+0.71/0.80/0+0.79 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 23 @4.103s 0%: 0.12+0.64+0.064 ms clock, 1.0+0.76/0.80/0+0.51 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 24 @4.106s 0%: 0.088+0.60+0.085 ms clock, 0.70+0.68/0.77/0+0.68 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
