2026/03/15 12:56:58 no config path specified; using /var/lib/derper/derper.key
2026/03/15 12:56:58 STUN server listening on [::]:3478
2026/03/15 12:56:58 No mesh key configured
2026/03/15 12:56:58 derper: serving on :3340 with TLS
2026/03/15 12:57:02 http: TLS handshake error from 10.20.0.20:57436: unexpected EOF
gc 32 @4.138s 0%: 0.12+0.80+0.050 ms clock, 0.96+0.83/0.74/0+0.40 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 33 @4.141s 0%: 0.10+0.87+0.10 ms clock, 0.84+0.71/0.93/0+0.81 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 34 @4.143s 0%: 0.091+0.60+0.10 ms clock, 0.72+0.70/0.76/0+0.80 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 35 @4.146s 0%: 0.13+1.2+0.069 ms clock, 1.0+0.74/0.79/0+0.55 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 36 @4.149s 0%: 0.13+0.86+0.10 ms clock, 1.0+0.61/0.75/0+0.80 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 37 @4.151s 0%: 0.15+0.70+0.12 ms clock, 1.2+0.71/0.85/0+1.0 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 38 @4.154s 0%: 0.10+0.73+0.11 ms clock, 0.87+0.74/0.86/0+0.92 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 39 @4.156s 0%: 0.098+0.60+0.098 ms clock, 0.78+0.69/0.76/0+0.78 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 40 @4.159s 0%: 0.12+0.59+0.10 ms clock, 1.0+0.79/0.80/0+0.81 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 41 @4.161s 0%: 0.10+0.57+0.077 ms clock, 0.82+0.65/0.73/0+0.61 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 42 @4.164s 0%: 0.13+0.92+0.072 ms clock, 1.0+0.80/0.79/0+0.57 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 43 @4.167s 0%: 0.12+0.65+0.11 ms clock, 0.97+0.77/0.75/0+0.94 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 44 @4.169s 0%: 0.13+0.84+0.14 ms clock, 1.1+0.53/0.78/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 45 @4.172s 0%: 0.10+0.75+0.074 ms clock, 0.86+0.69/0.91/0+0.59 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 46 @4.175s 0%: 0.15+1.3+0.051 ms clock, 1.2+0.84/0.72/0+0.41 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 47 @4.178s 0%: 0.11+0.97+0.091 ms clock, 0.91+0.72/0.68/0+0.72 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 48 @4.180s 0%: 0.085+0.67+0.12 ms clock, 0.68+0.58/0.92/0+0.99 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 49 @4.183s 0%: 0.090+0.84+0.096 ms clock, 0.72+0.73/0.83/0+0.77 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 50 @4.185s 0%: 0.097+0.63+0.10 ms clock, 0.77+0.78/0.69/0+0.86 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 51 @4.188s 0%: 0.13+0.60+0.067 ms clock, 1.1+0.69/0.82/0+0.53 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 52 @4.191s 0%: 0.12+0.56+0.094 ms clock, 0.98+0.72/0.64/0+0.75 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 53 @4.193s 0%: 0.10+0.89+0.10 ms clock, 0.81+0.83/1.1/0+0.82 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 54 @4.196s 0%: 0.15+0.75+0.10 ms clock, 1.2+0.75/0.92/0+0.84 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 55 @4.198s 0%: 0.12+0.67+0.14 ms clock, 1.0+0.67/0.89/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 56 @4.201s 0%: 0.099+0.98+0.089 ms clock, 0.79+0.64/0.72/0+0.71 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 57 @4.203s 0%: 0.10+0.59+0.054 ms clock, 0.84+0.72/0.74/0+0.43 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 58 @4.206s 0%: 0.12+0.57+0.041 ms clock, 0.98+0.80/0.73/0+0.33 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 59 @4.208s 0%: 0.078+0.60+0.063 ms clock, 0.62+0.87/0.69/0+0.50 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 60 @4.211s 0%: 0.12+0.46+0.10 ms clock, 0.99+0.73/0.67/0+0.80 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 61 @4.213s 0%: 0.090+1.4+0.044 ms clock, 0.72+0.78/0.81/0+0.35 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 62 @4.216s 0%: 0.094+0.71+0.063 ms clock, 0.75+0.80/0.78/0+0.51 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 63 @4.219s 0%: 0.13+0.94+0.11 ms clock, 1.0+0.61/0.81/0+0.91 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 64 @4.222s 0%: 0.076+0.95+0.075 ms clock, 0.61+0.71/0.76/0+0.60 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 65 @4.224s 0%: 0.095+0.75+0.056 ms clock, 0.76+0.74/0.93/0+0.45 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 66 @4.227s 0%: 0.12+0.66+0.14 ms clock, 1.0+0.65/0.77/0+1.1 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 67 @4.230s 0%: 0.074+0.65+0.096 ms clock, 0.59+0.74/0.76/0+0.76 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 68 @4.232s 0%: 0.14+0.60+0.063 ms clock, 1.1+0.79/0.77/0+0.50 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 69 @4.235s 0%: 0.15+0.49+0.049 ms clock, 1.2+0.67/0.75/0+0.39 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 70 @4.237s 0%: 0.11+0.51+0.12 ms clock, 0.91+0.78/0.75/0+0.97 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 71 @4.240s 0%: 0.10+0.65+0.098 ms clock, 0.80+0.69/0.76/0+0.78 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 72 @4.242s 0%: 0.13+0.87+0.12 ms clock, 1.1+0.75/0.82/0+0.98 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 73 @4.245s 0%: 0.10+0.74+0.045 ms clock, 0.84+0.63/0.78/0+0.36 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 74 @4.247s 0%: 0.097+0.64+0.11 ms clock, 0.78+0.77/0.76/0+0.88 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 75 @4.250s 0%: 0.12+0.75+0.072 ms clock, 0.96+0.68/0.70/0+0.58 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 76 @4.252s 0%: 0.094+0.60+0.10 ms clock, 0.75+0.68/0.77/0+0.83 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
