2026/03/17 14:45:18 no config path specified; using /var/lib/derper/derper.key
2026/03/17 14:45:18 STUN server listening on [::]:3478
2026/03/17 14:45:18 No mesh key configured
2026/03/17 14:45:18 derper: serving on :3340 with TLS
2026/03/17 14:45:22 http: TLS handshake error from 10.50.0.2:45054: unexpected EOF
gc 31 @4.656s 0%: 0.093+0.32+0.068 ms clock, 1.8+0.12/0.67/0+1.3 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 32 @4.657s 0%: 0.051+0.36+0.027 ms clock, 1.0+0.29/0.57/0.082+0.54 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 33 @4.659s 0%: 0.075+0.32+0.074 ms clock, 1.5+0.28/0.56/0.039+1.4 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 34 @4.660s 0%: 0.076+0.34+0.092 ms clock, 1.5+0.36/0.61/0.019+1.8 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 35 @4.661s 0%: 0.072+0.34+0.068 ms clock, 1.4+0.22/0.63/0.090+1.3 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 36 @4.662s 0%: 0.045+0.40+0.073 ms clock, 0.90+0.44/0.58/0.008+1.4 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 37 @4.664s 0%: 0.061+0.28+0.028 ms clock, 1.2+0.24/0.66/0.027+0.57 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 38 @4.665s 0%: 0.092+0.33+0.063 ms clock, 1.8+0.39/0.54/0.032+1.2 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 39 @4.666s 0%: 0.079+0.46+0.068 ms clock, 1.5+0.26/0.69/0.053+1.3 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 40 @4.667s 0%: 0.062+0.40+0.066 ms clock, 1.2+0.30/0.64/0+1.3 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 41 @4.668s 0%: 0.029+0.23+0.015 ms clock, 0.59+0.29/0.53/0.095+0.31 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 42 @4.670s 0%: 0.062+0.35+0.069 ms clock, 1.2+0.23/0.56/0.038+1.3 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 43 @4.671s 0%: 0.059+0.36+0.044 ms clock, 1.1+0.31/0.66/0.005+0.89 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 44 @4.672s 0%: 0.036+0.36+0.067 ms clock, 0.72+0.25/0.57/0.024+1.3 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 45 @4.673s 0%: 0.045+0.23+0.038 ms clock, 0.91+0.22/0.59/0.10+0.77 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 46 @4.674s 0%: 0.074+0.35+0.099 ms clock, 1.4+0.20/0.64/0.005+1.9 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 47 @4.676s 0%: 0.030+0.53+0.040 ms clock, 0.60+0.30/0.58/0.001+0.81 ms cpu, 3->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 48 @4.677s 0%: 0.075+0.32+0.079 ms clock, 1.5+0.28/0.56/0.049+1.5 ms cpu, 4->4->1 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 49 @4.678s 0%: 0.057+0.47+0.075 ms clock, 1.1+0.27/0.68/0+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 50 @4.680s 0%: 0.069+0.35+0.025 ms clock, 1.3+0.32/0.60/0.055+0.51 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 51 @4.681s 0%: 0.053+0.38+0.042 ms clock, 1.0+0.30/0.66/0.003+0.84 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 52 @4.682s 0%: 0.059+0.38+0.023 ms clock, 1.1+0.24/0.56/0.004+0.47 ms cpu, 4->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 53 @4.684s 0%: 0.039+0.48+0.060 ms clock, 0.78+0.28/0.55/0+1.2 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 54 @4.685s 0%: 0.066+0.35+0.088 ms clock, 1.3+0.16/0.62/0.017+1.7 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 55 @4.686s 0%: 0.097+0.46+0.036 ms clock, 1.9+0.31/0.74/0.003+0.73 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 56 @4.688s 0%: 0.12+0.41+0.047 ms clock, 2.4+0.24/0.65/0.056+0.94 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 57 @4.689s 0%: 0.073+0.46+0.10 ms clock, 1.4+0.36/0.62/0+2.0 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 58 @4.690s 0%: 0.059+0.44+0.037 ms clock, 1.1+0.26/0.57/0.10+0.74 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 59 @4.692s 0%: 0.080+0.29+0.047 ms clock, 1.6+0.41/0.46/0.006+0.94 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 60 @4.693s 0%: 0.088+0.36+0.075 ms clock, 1.7+0.34/0.58/0+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 61 @4.694s 0%: 0.085+0.51+0.056 ms clock, 1.7+0.24/0.67/0.008+1.1 ms cpu, 4->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 62 @4.695s 0%: 0.057+0.44+0.059 ms clock, 1.1+0.34/0.53/0+1.1 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 63 @4.696s 0%: 0.082+0.33+0.078 ms clock, 1.6+0.27/0.63/0.050+1.5 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 64 @4.698s 0%: 0.049+0.52+0.024 ms clock, 0.98+0.020/0.92/0.014+0.49 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 65 @4.699s 0%: 0.056+1.5+0.051 ms clock, 1.1+1.7/1.7/0+1.0 ms cpu, 4->6->3 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 66 @4.701s 0%: 0.077+0.56+0.075 ms clock, 1.5+0.30/0.80/0.021+1.5 ms cpu, 5->7->2 MB, 7 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 67 @4.703s 0%: 0.058+0.39+0.042 ms clock, 1.1+0.29/0.53/0.096+0.84 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 68 @4.704s 0%: 0.041+0.47+0.047 ms clock, 0.82+0.36/0.79/0.017+0.95 ms cpu, 4->4->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 69 @4.706s 0%: 0.065+0.59+0.081 ms clock, 1.3+0.37/0.63/0.020+1.6 ms cpu, 3->5->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 70 @4.707s 0%: 0.037+0.35+0.034 ms clock, 0.75+0.25/0.75/0+0.68 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 71 @4.708s 0%: 0.11+0.48+0.076 ms clock, 2.3+0.48/0.53/0.054+1.5 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 72 @4.710s 0%: 0.067+0.48+0.073 ms clock, 1.3+0.34/0.61/0.028+1.4 ms cpu, 4->5->2 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 73 @4.711s 0%: 0.095+0.22+0.013 ms clock, 1.9+0.23/0.60/0+0.26 ms cpu, 4->4->1 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 74 @4.712s 0%: 0.024+0.24+0.023 ms clock, 0.49+0.11/0.61/0.23+0.47 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 75 @4.713s 0%: 0.11+0.48+0.041 ms clock, 2.3+0.30/0.68/0+0.83 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 76 @4.714s 0%: 0.036+0.26+0.061 ms clock, 0.72+0.10/0.60/0.012+1.2 ms cpu, 4->4->1 MB, 5 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 77 @4.716s 0%: 0.063+0.29+0.031 ms clock, 1.2+0.30/0.69/0.020+0.63 ms cpu, 3->4->2 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
gc 78 @4.717s 0%: 0.049+0.38+0.031 ms clock, 0.98+0.21/0.64/0.10+0.62 ms cpu, 4->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 20 P
