2026/03/14 06:12:21 Running in dev mode.
2026/03/14 06:12:21 STUN server listening on [::]:3478
2026/03/14 06:12:21 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 06:12:21 No mesh key configured for --dev mode
2026/03/14 06:12:21 derper: serving on :3340
gc 1 @33.881s 0%: 0.034+1.1+0.016 ms clock, 0.068+0.97/0.57/0+0.032 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 2 @33.899s 0%: 0.065+0.78+0.003 ms clock, 0.13+0.81/0.40/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 3 @33.917s 0%: 0.028+0.80+0.005 ms clock, 0.056+0.75/0.39/0+0.010 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 4 @33.935s 0%: 0.015+0.80+0.017 ms clock, 0.031+0.65/0.43/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 5 @33.953s 0%: 0.040+0.70+0.015 ms clock, 0.081+0.63/0.43/0+0.030 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 6 @33.971s 0%: 0.017+1.0+0.004 ms clock, 0.035+0.71/0.32/0+0.009 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 7 @33.989s 0%: 0.76+0.67+0.003 ms clock, 1.5+0.34/0.76/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 8 @34.007s 0%: 0.014+0.75+0.028 ms clock, 0.028+0.70/0.36/0+0.056 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 9 @34.026s 0%: 0.039+0.70+0.003 ms clock, 0.078+0.56/0.48/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 10 @34.044s 0%: 0.017+0.65+0.017 ms clock, 0.035+0.65/0.33/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 11 @34.063s 0%: 0.032+0.76+0.013 ms clock, 0.064+0.62/0.43/0+0.027 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 12 @34.081s 0%: 0.016+0.72+0.017 ms clock, 0.032+0.63/0.41/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 13 @34.100s 0%: 0.039+0.67+0.004 ms clock, 0.078+0.59/0.42/0+0.008 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 14 @34.118s 0%: 0.013+0.91+0.018 ms clock, 0.027+0.76/0.40/0+0.037 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 15 @34.137s 0%: 0.041+0.69+0.017 ms clock, 0.082+0.65/0.38/0+0.034 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 16 @34.155s 0%: 0.027+1.0+0.004 ms clock, 0.055+0.72/0.36/0+0.009 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 17 @34.173s 0%: 0.030+0.74+0.016 ms clock, 0.061+0.66/0.36/0+0.033 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 18 @34.191s 0%: 0.072+0.79+0.018 ms clock, 0.14+0.59/0.47/0+0.037 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 19 @34.209s 0%: 0.021+1.2+0.003 ms clock, 0.043+0.63/0.41/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 20 @34.227s 0%: 0.038+1.1+0.011 ms clock, 0.076+0.62/0.48/0+0.022 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 21 @34.245s 0%: 0.021+0.74+0.007 ms clock, 0.042+0.75/0.35/0+0.014 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 22 @34.263s 0%: 0.017+0.70+0.054 ms clock, 0.035+0.77/0.38/0+0.10 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 23 @34.281s 0%: 0.013+0.84+0.020 ms clock, 0.026+0.69/0.40/0+0.040 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 24 @34.300s 0%: 0.014+0.77+0.003 ms clock, 0.028+0.73/0.39/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 25 @34.318s 0%: 0.046+0.70+0.003 ms clock, 0.093+0.78/0.35/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 26 @34.335s 0%: 0.050+0.67+0.003 ms clock, 0.10+0.70/0.34/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 27 @34.353s 0%: 0.055+0.93+0.023 ms clock, 0.11+0.63/0.51/0+0.046 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 28 @34.371s 0%: 0.038+0.82+0.021 ms clock, 0.077+0.74/0.48/0+0.042 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 29 @34.388s 0%: 0.28+0.46+0.003 ms clock, 0.57+0.50/0.46/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 30 @34.406s 0%: 0.059+0.76+0.024 ms clock, 0.11+0.64/0.39/0+0.048 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 31 @34.425s 0%: 0.036+1.2+0.002 ms clock, 0.073+0.63/0.37/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 32 @34.443s 0%: 0.045+0.96+0.003 ms clock, 0.090+0.61/0.39/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 33 @34.461s 0%: 0.014+0.86+0.003 ms clock, 0.029+0.68/0.42/0+0.007 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 34 @34.479s 0%: 0.018+0.69+0.020 ms clock, 0.036+0.61/0.41/0+0.041 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 35 @34.498s 0%: 0.014+0.72+0.003 ms clock, 0.028+0.70/0.43/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 36 @34.516s 0%: 0.11+1.3+0.018 ms clock, 0.23+0.68/0.35/0+0.037 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 37 @34.534s 0%: 0.026+0.75+0.021 ms clock, 0.053+0.79/0.32/0+0.043 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 38 @34.552s 0%: 0.020+0.82+0.002 ms clock, 0.041+0.67/0.44/0+0.005 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 39 @34.570s 0%: 0.026+0.94+0.051 ms clock, 0.052+0.49/0.61/0+0.10 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
gc 40 @34.588s 0%: 0.031+0.78+0.003 ms clock, 0.063+0.59/0.58/0+0.006 ms cpu, 3->3->0 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 2 P
