2026/03/14 02:32:49 Running in dev mode.
2026/03/14 02:32:49 STUN server listening on [::]:3478
2026/03/14 02:32:49 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 02:32:49 No mesh key configured for --dev mode
2026/03/14 02:32:49 derper: serving on :3340
gc 1 @33.853s 0%: 0.14+0.68+0.083 ms clock, 1.1+1.1/0.76/0+0.67 ms cpu, 3->4->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 2 @33.855s 0%: 0.11+0.55+0.12 ms clock, 0.90+0.92/0.63/0+0.99 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 3 @33.858s 0%: 0.084+0.69+0.10 ms clock, 0.67+0.77/0.82/0+0.82 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 4 @33.861s 0%: 0.10+0.63+0.12 ms clock, 0.82+0.66/0.72/0+0.98 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 5 @33.864s 0%: 0.090+0.82+0.084 ms clock, 0.72+0.55/0.75/0+0.67 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 6 @33.867s 0%: 0.14+0.53+0.10 ms clock, 1.1+0.58/0.64/0+0.83 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 7 @33.869s 0%: 0.12+0.53+0.10 ms clock, 1.0+0.66/0.69/0+0.87 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 8 @33.872s 0%: 0.076+0.54+0.061 ms clock, 0.60+0.50/0.67/0+0.48 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 9 @33.875s 0%: 0.11+0.55+0.10 ms clock, 0.90+0.68/0.60/0+0.86 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 10 @33.878s 0%: 0.081+0.90+0.043 ms clock, 0.65+1.0/0.61/0+0.34 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 11 @33.881s 0%: 0.097+0.41+0.042 ms clock, 0.78+0.56/0.56/0+0.34 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 12 @33.884s 0%: 0.086+0.47+0.095 ms clock, 0.69+0.66/0.57/0+0.76 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 13 @33.886s 0%: 0.10+0.46+0.086 ms clock, 0.81+0.74/0.54/0+0.69 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 14 @33.889s 0%: 0.11+0.60+0.088 ms clock, 0.93+0.66/0.67/0+0.70 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
gc 15 @33.892s 0%: 0.095+0.47+0.12 ms clock, 0.76+0.77/0.56/0+0.97 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 8 P
