2026/03/14 04:30:22 Running in dev mode.
2026/03/14 04:30:22 STUN server listening on [::]:3478
2026/03/14 04:30:22 No mesh key specified for dev via TAILSCALE_DERPER_MESH_KEY
2026/03/14 04:30:22 No mesh key configured for --dev mode
2026/03/14 04:30:22 derper: serving on :3340
gc 32 @34.015s 0%: 0.41+0.92+0.031 ms clock, 1.6+0.34/1.1/0+0.12 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 33 @34.020s 0%: 0.10+1.4+0.077 ms clock, 0.41+0.72/0.43/0+0.31 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 34 @34.025s 0%: 0.045+1.1+0.085 ms clock, 0.18+0.60/0.49/0+0.34 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 35 @34.030s 0%: 0.057+1.7+0.003 ms clock, 0.23+0.82/0.69/0+0.013 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 36 @34.036s 0%: 0.41+1.3+0.005 ms clock, 1.6+0.70/1.4/0+0.021 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 37 @34.041s 0%: 0.063+1.3+0.094 ms clock, 0.25+0.73/0.65/0+0.37 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 38 @34.046s 0%: 0.26+0.55+0.045 ms clock, 1.0+0.52/0.62/0+0.18 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 39 @34.051s 0%: 0.30+1.3+0.003 ms clock, 1.2+0.34/0.87/0.078+0.015 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 40 @34.056s 0%: 0.048+0.66+0.067 ms clock, 0.19+0.78/0.50/0+0.27 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 41 @34.061s 0%: 0.061+1.0+0.048 ms clock, 0.24+0.74/0.92/0+0.19 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 42 @34.066s 0%: 0.039+0.74+0.059 ms clock, 0.15+0.73/0.58/0+0.23 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 43 @34.071s 0%: 0.018+0.89+0.020 ms clock, 0.075+0.88/0.10/0+0.082 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
gc 44 @34.076s 0%: 1.6+0.84+0.014 ms clock, 6.7+0.82/1.7/0+0.058 ms cpu, 3->3->1 MB, 4 MB goal, 0 MB stacks, 0 MB globals, 4 P
